file,column,description
data_intermediate/country_occupation_panel.parquet,occupation_title,O*NET occupation title.
data_intermediate/country_occupation_panel.parquet,task_count,Number of linked O*NET tasks.
data_intermediate/country_occupation_panel.parquet,mean_exposure,Mean exposure level across linked tasks.
data_intermediate/country_occupation_panel.parquet,substitution_share,Occupation-level substitution share.
data_intermediate/country_occupation_panel.parquet,augmentation_share,Occupation-level augmentation share.
data_intermediate/country_occupation_panel.parquet,sub_only_share,Occupation-level substitution-only contribution.
data_intermediate/country_occupation_panel.parquet,both_share,Occupation-level balanced-both contribution.
data_intermediate/country_occupation_panel.parquet,aug_only_share,Occupation-level augmentation-only contribution.
data_intermediate/country_industry_panel.parquet,iso3,ISO 3166-1 alpha-3 country code.
data_intermediate/country_industry_panel.parquet,isic2_code,Two-digit ISIC Rev. 4 division.
data_intermediate/country_industry_panel.parquet,isic4_code,Four-digit ISIC Rev. 4 class.
data_intermediate/country_industry_panel.parquet,activity_description,ISIC activity description.
data_intermediate/country_industry_panel.parquet,matched_tasks,Number of retained task links to the ISIC class.
data_intermediate/country_industry_panel.parquet,weighted_exposure,Task-weighted exposure level for the ISIC class.
data_intermediate/country_industry_panel.parquet,sub_only_share,Industry-level substitution-only contribution.
data_intermediate/country_industry_panel.parquet,both_share,Industry-level balanced-both contribution.
data_intermediate/country_industry_panel.parquet,aug_only_share,Industry-level augmentation-only contribution.
data_intermediate/benchmark_task_labels.parquet,task_id,Stable task identifier.
data_intermediate/benchmark_task_labels.parquet,context_label,Benchmark context label.
data_intermediate/benchmark_task_labels.parquet,context_type,"Benchmark context type: country, income-group, or context-free."
data_intermediate/benchmark_task_labels.parquet,exposure_level,Four-level automation exposure label.
data_intermediate/benchmark_task_labels.parquet,exposed_ge2,Indicator or share for exposure levels 2 or 3.
data_intermediate/benchmark_task_labels.parquet,dominant_channel,Dominant technology channel.
data_intermediate/benchmark_task_labels.parquet,margin,Dominant labour-margin label.
data_intermediate/benchmark_task_labels.parquet,has_material_ai_integration,AI-materiality indicator/share.
data_analysis/country_map_panel.csv,share_exposed,Country-level share of tasks at exposure levels 2 or 3.
data_analysis/country_map_panel.csv,share_high_exposure,Country-level share of tasks at exposure level 3.
data_analysis/country_map_panel.csv,log_gdp_per_capita,Log GDP per capita used in country-gradient figures.
data_analysis/country_map_panel.csv,sub_only_share,Country-level substitution-only share of all tasks.
data_analysis/country_map_panel.csv,both_share,Country-level balanced-both share of all tasks.
data_analysis/country_map_panel.csv,aug_only_share,Country-level augmentation-only share of all tasks.
data_analysis/country_channel_ai_panel.csv,ai_material_share_exposed,AI-material share among exposed tasks.
data_analysis/country_channel_ai_panel.csv,physical_execution_share_exposed,Physical-execution share among exposed tasks.
data_analysis/country_channel_ai_panel.csv,rule_based_workflow_share_exposed,Rule-based workflow share among exposed tasks.
data_analysis/country_channel_ai_panel.csv,planning_control_share_exposed,Planning/control share among exposed tasks.
data_analysis/country_channel_ai_panel.csv,informational_transformation_share_exposed,Information-transformation share among exposed tasks.
data_analysis/country_channel_ai_panel.csv,inference_scoring_share_exposed,Inference/scoring share among exposed tasks.
data_analysis/gender_gap_isco_isic_summary.csv,domain,Occupation or industry aggregation object.
data_analysis/gender_gap_isco_isic_summary.csv,margin,Labour-margin contribution being compared.
data_analysis/gender_gap_isco_isic_summary.csv,n_countries,Number of countries contributing to the gender-gap summary.
data_analysis/gender_gap_isco_isic_summary.csv,median_gap_pp,Median female-minus-male employment-weighted gap in percentage points.
data_analysis/gender_gap_isco_isic_summary.csv,female_higher_share,Share of countries with positive female-minus-male gap.
data_analysis/gender_fe_regression_table.csv,coef,Fixed-effect regression coefficient for a 10 percentage point exposure-margin increase.
data_analysis/gender_fe_regression_table.csv,se,Country-clustered standard error.
data_analysis/gender_fe_regression_table.csv,pvalue,p-value for the reported coefficient.
data_analysis/gender_fe_regression_table.csv,n_obs,Number of country-cell observations.
data_analysis/gender_fe_regression_table.csv,n_countries,Number of countries.
data_analysis/gender_fe_regression_table.csv,n_cells,Number of occupation or industry cells.
