iso3,task_count,exposed_share,exposed_count,country_name,income_level,region,physical_execution_share_exposed,rule_based_workflow_share_exposed,planning_control_share_exposed,informational_transformation_share_exposed,inference_scoring_share_exposed,ai_material_share_exposed,non_substitution_share_exposed,learned_content_transformation_share_ai_exposed,learned_state_inference_share_ai_exposed,learned_recommendation_decision_share_ai_exposed,learned_adaptive_control_share_ai_exposed,gdp_per_capita,log_gdp_per_capita,population
DNK,23851,0.5934342375581737,14154,Denmark,High income,Europe & Central Asia,0.2503885827327964,0.245089727285573,0.15613960717818284,0.26367104705383637,0.08471103574961142,0.7364702557580896,0.6254768969902501,0.42872217958557174,0.25709900230237914,0.2192056792018419,0.09497313891020721,71026.4832271897,11.170808089674908,5976992.0
NOR,23851,0.576328036560312,13746,Norway,High income,Europe & Central Asia,0.2442892477811727,0.24967263203841117,0.15284446384402736,0.26371308016877637,0.0894805761676124,0.7252291575731121,0.6251273097628401,0.43163807804193,0.2530845621426422,0.22088474270237737,0.09439261711305046,86785.43344891758,11.371194069156742,5572279.0
CHE,23848,0.5648272391814827,13470,Switzerland,High income,Europe & Central Asia,0.2516703786191537,0.24684484038604307,0.1489977728285078,0.2659985152190052,0.08648849294729027,0.7303637713437268,0.6406829992576095,0.4351494206139459,0.25614962390729823,0.21244155316121163,0.09625940231754422,103998.1866856041,11.55212874225616,9005582.0
IRL,23851,0.5538551842690034,13210,Ireland,High income,Europe & Central Asia,0.22657077971233913,0.26010598031794097,0.14723694171082513,0.27592732778198337,0.09015897047691143,0.7208175624526874,0.6391370174110522,0.4638731358958202,0.24007561436672967,0.21770636420919975,0.07834488552825036,112894.95324080532,11.6342130479943,5395790.0
HTI,23851,0.15068550584881138,3594,Haiti,Lower middle income,Latin America & Caribbean,0.040901502504173626,0.5027824151363384,0.058708959376739006,0.34557595993322204,0.05203116304952699,0.46104618809126324,0.6505286588759043,0.7543753771876885,0.16113458056729027,0.08267954133977067,0.0018105009052504525,2142.623305267887,7.669786200866235,11772557.0
NIC,23851,0.3451008343465683,8231,Nicaragua,Lower middle income,Latin America & Caribbean,0.11201555096586077,0.4161098286963917,0.10557647916413558,0.28672093305795165,0.07957720811566031,0.5039484874255862,0.6425707690438586,0.6101735776277725,0.22589199614271938,0.14754098360655737,0.01639344262295082,2847.5396633949863,7.954210624423619,6916140.0
HND,23851,0.4040082176847931,9636,Honduras,Lower middle income,Latin America & Caribbean,0.12681610626816106,0.36944790369447905,0.1224574512245745,0.30303030303030304,0.07824823578248236,0.5825031133250311,0.6788086342880864,0.5852485301977552,0.22768572955638697,0.16853732406912525,0.018528416176732586,3426.4348332892287,8.139275592397405,10825703.0
BOL,23851,0.363800259947172,8677,Bolivia,Lower middle income,Latin America & Caribbean,0.10245476547193731,0.39829434136222197,0.1192808574392071,0.3007952057162614,0.07917483001037225,0.546271752909992,0.6880258153739772,0.6126582278481013,0.22151898734177214,0.15126582278481013,0.014556962025316455,4421.166098899987,8.394158763557042,12413315.0
SLV,23851,0.4625382583539474,11032,El Salvador,Upper middle income,Latin America & Caribbean,0.13841551849166062,0.3393763596809282,0.12663161711385063,0.30456852791878175,0.09100797679477883,0.6089557650471356,0.6560913705583756,0.55879726108961,0.24025007442691276,0.18130395951175945,0.01964870497171777,5579.659691650286,8.626883066356116,6338193.0
GTM,23851,0.4194373401534527,10004,Guatemala,Upper middle income,Latin America & Caribbean,0.1327469012395042,0.36465413834466215,0.12355057976809276,0.2916833266693323,0.08736505397840863,0.6092562974810076,0.689124350259896,0.5604593929450369,0.23954060705496308,0.17768662838392124,0.022313371616078752,6150.025714385067,8.724211541992647,18406359.0
PRY,23851,0.4633348706553184,11051,Paraguay,Upper middle income,Latin America & Caribbean,0.15066509818116008,0.33073929961089493,0.12849515880915754,0.2985250203601484,0.09157542303863904,0.604832141887612,0.6616595783187041,0.5522142429682825,0.23773189706762418,0.18491921005385997,0.025134649910233394,6416.09708970844,8.76656528186771,6929153.0
ECU,23851,0.5028300700180286,11993,Ecuador,Upper middle income,Latin America & Caribbean,0.14892020345201368,0.3051780205119653,0.13749687317601936,0.3125156341199033,0.09588926874009839,0.6769782373050947,0.6891520053364463,0.5328242394383544,0.24030052962187462,0.19780761177484912,0.029067619164921787,6874.705739765999,8.83560412013018,18135478.0
COL,23851,0.4907970315710033,11706,Colombia,Upper middle income,Latin America & Caribbean,0.20126430890141808,0.2936955407483342,0.13343584486588075,0.28250469844524173,0.08909960703912523,0.6711088330770545,0.6518879207244148,0.5049643584521385,0.24605397148676172,0.2079938900203666,0.040987780040733196,7919.208868253448,8.977046589447056,52886363.0
PER,23851,0.4636283593979288,11058,Peru,Upper middle income,Latin America & Caribbean,0.18855127509495387,0.3067462470609513,0.13338759269307288,0.2798878639898716,0.0914270211611503,0.654187013926569,0.6619641888225719,0.5142383190489356,0.2506220624827205,0.19505114735969034,0.04008847110865358,8452.37167056622,9.042202352043388,34217848.0
CUB,23851,0.339398767347281,8095,Cuba,Upper middle income,Latin America & Caribbean,0.11513279802347128,0.4117356392835083,0.11241507103150093,0.2812847436689314,0.07943174799258802,0.4553428042001235,0.6705373687461396,0.6074335322843191,0.24199674443841562,0.1321215409658166,0.018448182311448725,9777.242409982055,9.187812761100533,10979783.0
BRA,23845,0.5376389180121619,12820,Brazil,Upper middle income,Latin America & Caribbean,0.2217628705148206,0.27090483619344774,0.14407176287051482,0.2701248049921997,0.09313572542901716,0.7014040561622464,0.6302652106084243,0.46875,0.25222419928825623,0.21819395017793594,0.06083185053380783,10310.54887781655,9.24092281301553,211998573.0
DOM,23851,0.486604335247998,11606,Dominican Republic,Upper middle income,Latin America & Caribbean,0.15560916767189384,0.330087885576426,0.12665862484921592,0.2975185249009133,0.09012579700155092,0.6527658107875237,0.6792176460451491,0.5475184794086589,0.23416050686378037,0.1900739176346357,0.028247096092925028,10875.661844309156,9.294282713351855,11427557.0
ARG,23848,0.5155149278765515,12294,Argentina,Upper middle income,Latin America & Caribbean,0.2160403448836831,0.28111273792093705,0.1406377094517651,0.27411745566943224,0.08809175207418253,0.6810639336261591,0.6418578168212136,0.4909829212946375,0.24913412158127313,0.20721366296428997,0.05266929415979935,13969.783660373732,9.544651966116334,45696159.0
MEX,23850,0.5187840670859539,12373,Mexico,Upper middle income,Latin America & Caribbean,0.2199143295886204,0.2787521215549988,0.13852743877798432,0.27260971470136586,0.09019639537703063,0.6871413561787764,0.6395377030631213,0.48341566690190546,0.2567631145612797,0.20771583156904258,0.05210538696777229,14185.78122485287,9.559995419737916,130861007.0
CHL,23851,0.5375875225357427,12822,Chile,High income,Latin America & Caribbean,0.22227421619092186,0.2660271408516612,0.1476368741226018,0.2740602090157542,0.090001559819061,0.6992668850413352,0.6350803306816409,0.46575953602498327,0.25674771358465315,0.21782288645995984,0.05966986393040375,16709.889397230658,9.723756002610662,19764771.0
CRI,23851,0.5796402666554862,13825,Costa Rica,High income,Latin America & Caribbean,0.18502712477396022,0.2624231464737794,0.15204339963833635,0.303001808318264,0.09750452079566004,0.7349005424954792,0.67500904159132,0.4885826771653543,0.247244094488189,0.21751968503937008,0.04665354330708661,18587.153220348155,9.830225933989029,5129910.0
PRI,23851,0.6067670118653306,14472,Puerto Rico (US),High income,Latin America & Caribbean,0.195342730790492,0.24675234936428966,0.1589966832504146,0.3035516860143726,0.09535655058043117,0.757808181315644,0.6733001658374793,0.47843530591775324,0.24610194219020698,0.21756177623780432,0.05790097565423544,39343.7154660139,10.58009153247613,3203295.0
VEN,23851,0.40367280197895267,9628,"Venezuela, RB",,Latin America & Caribbean,0.18695471541337766,0.35230577482343167,0.12266306605733278,0.26225592023265476,0.07582052347320316,0.5222268383880349,0.6031366846697134,0.5747812251392204,0.24284009546539378,0.15950676213206047,0.022871917263325377,4217.591026433925,8.347019397218375,28405543.0
AFG,23851,0.13206993417466772,3150,Afghanistan,Low income,Middle East & North Africa,0.12253968253968255,0.4803174603174603,0.07682539682539682,0.2714285714285714,0.04888888888888889,0.35555555555555557,0.5104761904761905,0.7455357142857143,0.18660714285714286,0.060714285714285714,0.007142857142857143,402.1862443135343,5.996915275643621,42647492.0
YEM,23851,0.15458471342920632,3687,"Yemen, Rep.",Low income,Middle East & North Africa,0.1442907512883103,0.4852183346894494,0.080553295362083,0.23759153783563874,0.05234608082451858,0.33848657445077296,0.47789530783835094,0.6947115384615384,0.2203525641025641,0.07932692307692307,0.005608974358974359,532.3922172019855,6.277380468085756,40583164.0
SYR,23851,0.1679594146995933,4006,Syrian Arab Republic,Low income,Middle East & North Africa,0.15751372940589117,0.47728407388916627,0.08187718422366451,0.23140289565651523,0.05192211682476285,0.3307538691962057,0.5049925112331503,0.6950943396226416,0.2188679245283019,0.06943396226415094,0.01660377358490566,957.4456639429354,6.8642689716043055,24672760.0
PAK,23851,0.38145151146702444,9098,Pakistan,Lower middle income,Middle East & North Africa,0.16003517256539898,0.3534842822598373,0.12112552209276764,0.28731589360298965,0.07803912947900637,0.5833150142888547,0.6631127720378105,0.5773506689278312,0.22875447522140568,0.16996419822875447,0.023930657622008668,1478.7727797799573,7.298967819927931,251269164.0
EGY,23851,0.4647184604419102,11084,"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,0.20173222663298448,0.30918440996030316,0.1335258029592205,0.27264525442078674,0.08291230602670516,0.6408336340671238,0.6473294839408156,0.5072504575531466,0.2584823314092637,0.19611431789384767,0.03815289314374208,3338.473713958947,8.113269009658703,116538258.0
TUN,23851,0.4938576998867972,11779,Tunisia,Lower middle income,Middle East & North Africa,0.16189829357330843,0.3190423635283131,0.13379743611512013,0.29459207063417947,0.09066983614907886,0.6430936412259105,0.6854571695390101,0.5326732673267327,0.24435643564356435,0.1951155115511551,0.027854785478547854,4181.137893012288,8.33833871168147,12277109.0
MAR,23851,0.4418263385183011,10538,Morocco,Lower middle income,Middle East & North Africa,0.1915923325109129,0.32150313152400833,0.13114442968305182,0.2661795407098121,0.08958056557221485,0.6186183336496489,0.6748908711330424,0.5115815309096488,0.26353735235465564,0.1866850743979138,0.03819604233778187,4217.59576719798,8.347020521263206,38081173.0
JOR,23851,0.5170852375162467,12333,Jordan,Lower middle income,Middle East & North Africa,0.16159896213411173,0.3032514392280872,0.13719289710532717,0.3004135246898565,0.09754317684261737,0.6810184059028622,0.6908294818778886,0.5198237885462555,0.24979164186212643,0.20050005953089653,0.029884510060721514,4618.095924985674,8.437737761674816,11552876.0
IRN,23851,0.4548236971196176,10848,"Iran, Islamic Rep.",Upper middle income,Middle East & North Africa,0.21109882005899705,0.3247603244837758,0.13560103244837757,0.24225663716814158,0.08628318584070796,0.5636061946902655,0.6301622418879056,0.5060516846581616,0.275269872423945,0.180732744520772,0.037945698397121363,5190.169590248216,8.554521651974477,91567738.0
DZA,23851,0.43386021550459103,10348,Algeria,Upper middle income,Middle East & North Africa,0.20641669887901043,0.3327212988017008,0.12620796289137998,0.2552183996907615,0.07943563973714728,0.572574410514109,0.654619250096637,0.5242194092827004,0.25839662447257383,0.17147679324894516,0.04590717299578059,5752.990766514652,8.65747513187585,46814308.0
IRQ,23851,0.32619177392981424,7780,Iraq,Upper middle income,Middle East & North Africa,0.17519280205655527,0.38483290488431876,0.11876606683804627,0.24447300771208227,0.07673521850899744,0.4840616966580977,0.6338046272493574,0.5589484864577802,0.26872012745618695,0.14338821030270846,0.028943175783324483,6073.610323427091,8.711708488695377,46042015.0
LBY,23851,0.3303844702528196,7880,Libya,Upper middle income,Middle East & North Africa,0.13946700507614213,0.4003807106598985,0.11192893401015229,0.26802030456852793,0.08020304568527918,0.4969543147208122,0.6335025380710659,0.5842696629213483,0.2425944841675179,0.1468335035750766,0.026302349336057202,6569.16408678648,8.790141871540236,7381023.0
OMN,23851,0.5692004528112029,13576,Oman,High income,Middle East & North Africa,0.18584266352386564,0.2768120212139069,0.15019151443724219,0.28852386564525634,0.09862993517972893,0.7064672952268709,0.6703005303476723,0.4726305911792305,0.25617766656240226,0.22062350119904076,0.05056824105932645,20285.227289737573,9.917648180395993,5281538.0
KWT,23851,0.5869774852207454,14000,Kuwait,High income,Middle East & North Africa,0.19535714285714287,0.26721428571428574,0.15257142857142858,0.2910714285714286,0.09378571428571429,0.718,0.6601428571428571,0.477616394747314,0.2536808595304417,0.21886191802626342,0.0498408276959809,32717.718663125506,10.39567206527631,4897263.0
SAU,23849,0.5557046417040546,13253,Saudi Arabia,High income,Middle East & North Africa,0.23104202822002565,0.26386478533162305,0.15324832113483738,0.26129932845393494,0.09054553685957896,0.713121557383234,0.625594205085641,0.448206538990583,0.25616336895566605,0.22875886149613797,0.06687123055761295,35121.66286877413,10.466573394827881,35300280.0
