iso3,ilostat_year,isco_major,employment_value,employment_share
BEL,2024,5,710.654,0.1403184469393316
BEL,2024,6,56.874,0.01122975646549171
BEL,2024,7,487.529,0.096262473887272
BEL,2024,8,297.506,0.05874248210118114
BEL,2024,9,476.838,0.09415153872581734
BEN,2022,0,8.16,0.0014990655640941466
BEN,2022,1,34.269,0.006295524242149793
BEN,2022,2,142.071,0.026099723499561214
BEN,2022,3,76.333,0.014023060257842952
BEN,2022,4,53.828,0.009888688870595555
BEN,2022,5,1582.591,0.2907362340864362
BEN,2022,6,2322.149,0.4265997059553503
BEN,2022,7,805.472,0.14797246789730886
BEN,2022,8,196.682,0.03613225652906433
BEN,2022,9,221.836,0.04075327309759671
BFA,2024,0,18.199,0.0023102378101601214
BFA,2024,1,230.814,0.029300248910066384
BFA,2024,2,411.302,0.052211958447962975
BFA,2024,3,322.21,0.040902342151310105
BFA,2024,4,42.861,0.005440908993970709
BFA,2024,5,1255.929,0.15943154363847414
BFA,2024,6,4278.974,0.5431863027359797
BFA,2024,7,692.351,0.08788919490643277
BFA,2024,8,118.161,0.014999725802864447
BFA,2024,9,506.743,0.06432753660277873
BGD,2024,0,115.58,0.001673337043495181
BGD,2024,1,908.207,0.013148783667257552
BGD,2024,2,3087.042,0.044693387553430095
BGD,2024,3,1803.166,0.026105766251696066
BGD,2024,4,683.788,0.009899704017109214
BGD,2024,5,10121.763,0.14654024029571652
BGD,2024,6,29132.91,0.4217786596972763
BGD,2024,7,10166.402,0.14718651207530278
BGD,2024,8,6017.522,0.08712011137434858
BGD,2024,9,7035.18,0.10185349802436779
BHS,2019,0,0.251,0.00119029553473197
BHS,2019,1,15.904,0.07542016009712052
BHS,2019,2,19.906,0.09439849766683105
BHS,2019,3,21.724,0.10301984142038771
BHS,2019,4,19.702,0.09343108615653098
BHS,2019,5,61.444,0.29138055313175765
BHS,2019,6,4.133,0.019599567510148335
BHS,2019,7,25.846,0.12256724458439242
BHS,2019,8,10.817,0.05129652111233354
BHS,2019,9,31.145,0.14769623278576577
BIH,2024,0,8.227,0.00607575230545518
BIH,2024,1,35.253,0.026034823875557486
BIH,2024,2,214.117,0.15812834038983184
BIH,2024,3,109.242,0.08067671488422691
BIH,2024,4,80.816,0.05968372411786384
BIH,2024,5,245.439,0.18126006686503146
BIH,2024,6,176.642,0.13045253904706622
BIH,2024,7,233.459,0.17241267259988585
BIH,2024,8,126.41,0.09335551828523024
BIH,2024,9,124.466,0.09191984762985102
BLR,2024,1,475.014,0.0990155435230318
BLR,2024,2,1100.815,0.2294622801502824
BLR,2024,3,477.881,0.09961316288431489
BLR,2024,4,148.984,0.03105536202350956
BLR,2024,5,725.169,0.15115976093557967
BLR,2024,6,126.752,0.026421154266255995
BLR,2024,7,746.994,0.1557091305065611
BLR,2024,8,662.428,0.1380815480488468
BLR,2024,9,333.331,0.06948205766161779
BLZ,2019,0,1.507,0.009098977798977195
BLZ,2019,1,1.579,0.009533700029585264
BLZ,2019,2,10.341,0.06243698037108372
BLZ,2019,3,12.692,0.07663186876218883
BLZ,2019,4,11.699,0.07063632466505257
BLZ,2019,5,45.929,0.2773105184666381
BLZ,2019,6,12.1,0.07305748597718915
BLZ,2019,7,22.799,0.13765600188379634
BLZ,2019,8,10.784,0.06511172965107503
BLZ,2019,9,36.193,0.2185264123944138
BOL,2024,0,5.299,0.0007766834896789333
BOL,2024,1,113.81,0.016681326280498093
BOL,2024,2,484.125,0.0709590289565604
BOL,2024,3,418.424,0.06132912105782561
BOL,2024,4,221.249,0.03242884419852317
BOL,2024,5,1606.418,0.23545543274637712
BOL,2024,6,1533.637,0.2247877971429949
BOL,2024,7,1298.691,0.19035136023676608
BOL,2024,8,604.199,0.08855848042659402
BOL,2024,9,536.747,0.0786719254641816
BRA,2025,0,829.556,0.008121225390309897
BRA,2025,1,3718.959,0.036408035450676626
BRA,2025,2,13660.754,0.13373667628897565
BRA,2025,3,9159.065,0.08966583477124958
BRA,2025,4,8621.146,0.08439969066436577
BRA,2025,5,22652.87,0.2217681060801071
BRA,2025,6,4584.028,0.04487692763778635
BRA,2025,7,13403.809,0.13122122433888042
BRA,2025,8,9671.076,0.0946783435510281
BRA,2025,9,15845.391,0.1551239358266204
BRB,2023,1,9.524,0.08410604214133065
BRB,2023,2,16.005,0.1413394796799661
BRB,2023,3,12.645,0.11166746145286918
BRB,2023,4,9.161,0.0809004044578675
BRB,2023,5,27.886,0.24626008936929303
BRB,2023,6,3.476,0.030696409332556213
BRB,2023,7,13.484,0.11907663505183774
BRB,2023,8,5.899,0.05209382009572759
BRB,2023,9,15.158,0.1338596584185521
BRN,2024,0,6.283,0.028210815567808335
BRN,2024,1,14.662,0.06583271969683364
BRN,2024,2,39.723,0.17835719032310207
BRN,2024,3,32.96,0.14799116363440437
BRN,2024,4,23.131,0.10385872591102571
BRN,2024,5,44.808,0.201188958135024
BRN,2024,6,2.035,0.009137197147937285
BRN,2024,7,19.874,0.08923472045115753
BRN,2024,8,7.917,0.03554751342516928
BRN,2024,9,31.323,0.14064099570753785
BTN,2024,0,3.314,0.008990653952062506
BTN,2024,1,42.227,0.1145589452123547
BTN,2024,2,30.67,0.08320559948996895
BTN,2024,3,21.681,0.05881906105451636
BTN,2024,4,9.812,0.02661928080194246
BTN,2024,5,32.012,0.08684635314225256
BTN,2024,6,152.818,0.4145847180586265
BTN,2024,7,32.834,0.08907638257755594
BTN,2024,8,25.592,0.06942933492491964
BTN,2024,9,17.645,0.047869670785800525
BWA,2024,0,2.502,0.002909329389110596
BWA,2024,1,48.467,0.0563575010000093
BWA,2024,2,71.487,0.08312519186224988
BWA,2024,3,58.548,0.06807970306700528
BWA,2024,4,32.211,0.03745499958139145
BWA,2024,5,166.89,0.19405994474367202
BWA,2024,6,147.458,0.17146438571521597
BWA,2024,7,71.758,0.08344031107266114
BWA,2024,8,38.454,0.04471436943599476
BWA,2024,9,222.217,0.2583942641326896
CHL,2025,1,452.799,0.04837827191106242
CHL,2025,2,1630.045,0.1741584240187539
CHL,2025,3,1202.011,0.1284261118025615
CHL,2025,4,476.395,0.05089933247880534
CHL,2025,5,1987.737,0.21237520638004828
CHL,2025,6,222.008,0.02371993619780774
CHL,2025,7,1107.105,0.11828609763735512
CHL,2025,8,748.423,0.07996354099389148
CHL,2025,9,1533.03,0.16379307857971423
CIV,2022,0,81.136,0.0070605125502577245
CIV,2022,1,16.409,0.0014279228756307804
CIV,2022,2,242.247,0.021080506603262217
CIV,2022,3,282.781,0.02460780417415734
CIV,2022,4,285.324,0.02482909784669857
CIV,2022,5,3421.256,0.2977201356444062
CIV,2022,6,5401.31,0.470025846021896
CIV,2022,7,1029.129,0.08955553909897188
CIV,2022,8,129.688,0.011285542196039042
CIV,2022,9,602.237,0.05240709298868026
CMR,2021,0,75.903,0.008205154925363067
CMR,2021,1,1688.778,0.18255780568020746
CMR,2021,2,454.644,0.04914725973791241
CMR,2021,3,384.891,0.04160692310419767
CMR,2021,4,254.286,0.02748845270082701
CMR,2021,5,804.588,0.08697639343751917
CMR,2021,6,3712.178,0.4012884286592679
CMR,2021,7,1031.32,0.11148624399069122
CMR,2021,8,373.752,0.04040279124229999
CMR,2021,9,470.308,0.05084054652171393
COD,2020,0,14.33,0.0004683405849864781
COD,2020,1,798.348,0.02609202856544206
COD,2020,2,1447.242,0.047299523021423616
COD,2020,3,894.842,0.029245696144484995
COD,2020,4,155.312,0.005075988341620368
COD,2020,5,2820.689,0.09218723910152991
COD,2020,6,22608.33,0.738897313172878
COD,2020,7,707.402,0.023119683635771427
COD,2020,8,541.673,0.01770324142996375
COD,2020,9,609.223,0.01991094600189931
COK,2023,1,1.215,0.1424885657323795
COK,2023,2,1.041,0.12208279582502636
COK,2023,3,1.094,0.12829834642899027
COK,2023,4,0.447,0.05242171924475196
COK,2023,5,2.219,0.2602322035886009
COK,2023,6,0.33,0.03870059810015245
COK,2023,7,1.036,0.12149642312653922
COK,2023,8,0.309,0.036237832766506384
COK,2023,9,0.836,0.09804151518705287
COL,2025,0,19.115,0.0008022509865819483
COL,2025,1,1365.053,0.05729087711151705
COL,2025,2,2644.962,0.11100828532418328
COL,2025,3,1658.707,0.0696154500235618
COL,2025,4,1425.465,0.05982635116861297
COL,2025,5,5155.154,0.21636031297315603
COL,2025,6,1287.698,0.05404431027567888
COL,2025,7,2506.843,0.10521147109369872
COL,2025,8,2105.711,0.08837607780311069
COL,2025,9,5658.0,0.2374646132398987
COM,2021,0,3.594,0.020568524548883155
COM,2021,1,1.599,0.009151104828509785
COM,2021,2,13.772,0.07881739568370029
COM,2021,3,5.404,0.030927186049572782
COM,2021,4,13.088,0.07490285177957227
COM,2021,5,26.215,0.15002890123788867
COM,2021,6,70.586,0.40396490645728056
COM,2021,7,11.603,0.06640417093508383
COM,2021,8,5.808,0.03323928508066593
COM,2021,9,23.064,0.13199567339884283
CPV,2019,0,0.353,0.0017112247618585937
CPV,2019,1,7.064,0.034243885886031465
CPV,2019,2,17.048,0.08264294543956176
CPV,2019,3,11.206,0.054322902780134276
CPV,2019,4,11.209,0.05433744576677897
CPV,2019,5,49.27,0.2388443173279686
CPV,2019,6,17.28,0.08376760307341785
CPV,2019,7,31.925,0.15476161621058246
CPV,2019,8,12.596,0.06106115325884093
CPV,2019,9,48.334,0.23430690549482514
CRI,2025,1,32.08,0.014671568165624076
CRI,2025,2,310.896,0.14218615512530747
CRI,2025,3,234.226,0.10712165602124268
CRI,2025,4,175.031,0.08004922841637618
CRI,2025,5,432.581,0.19783795600541862
CRI,2025,6,58.701,0.026846500090096603
CRI,2025,7,250.911,0.11475242643406805
CRI,2025,8,197.511,0.0903303023678484
CRI,2025,9,494.605,0.22620420737401797
CUW,2020,0,0.154,0.0030040574282147316
CUW,2020,1,6.033,0.11768492509363296
CUW,2020,2,7.67,0.1496176654182272
CUW,2020,3,6.444,0.12570224719101122
CUW,2020,4,5.852,0.1141541822721598
CUW,2020,5,11.346,0.2213249063670412
CUW,2020,6,0.098,0.00191167290886392
CUW,2020,7,5.62,0.10962858926342071
CUW,2020,8,1.962,0.038272471910112356
CUW,2020,9,6.085,0.11869928214731584
CYM,2015,1,3.866,0.09919433468466156
CYM,2015,2,6.38,0.16369887617385948
CYM,2015,3,5.483,0.14068353261148456
CYM,2015,4,3.124,0.08015600143685533
CYM,2015,5,8.441,0.21658028429209217
CYM,2015,6,0.741,0.019012675116744496
CYM,2015,7,4.593,0.11784779596654178
CYM,2015,8,1.534,0.03935957304869913
CYM,2015,9,4.812,0.12346692666906142
CZE,2024,0,4.727,0.0009103661956206899
CZE,2024,1,267.019,0.0514248087980624
CZE,2024,2,1046.868,0.20161481668649042
CZE,2024,3,866.909,0.1669567692573168
CZE,2024,4,358.436,0.06903067858969697
CZE,2024,5,786.256,0.15142392289061585
CZE,2024,6,73.275,0.014111927857860388
CZE,2024,7,842.227,0.16220329804083494
CZE,2024,8,676.396,0.13026614200403047
CZE,2024,9,270.303,0.05205726967947098
DJI,2017,0,8.143,0.10198637342818498
DJI,2017,1,3.437,0.043046440559090224
DJI,2017,2,9.986,0.12506888432443267
DJI,2017,3,10.341,0.1295150543559942
DJI,2017,4,10.322,0.12927709032613596
DJI,2017,5,20.001,0.2505009769049647
DJI,2017,6,1.538,0.01926256199589199
DJI,2017,7,6.785,0.08497820750463404
DJI,2017,8,0.813,0.010182355593407143
DJI,2017,9,8.478,0.10618205500726417
DNK,2024,0,13.033,0.0043499621843999465
DNK,2024,1,86.193,0.02876822608455341
DNK,2024,2,883.5,0.2948815767603279
DNK,2024,3,523.989,0.17488930676295128
DNK,2024,4,214.239,0.07150552815343054
DNK,2024,5,578.797,0.1931823112440832
DNK,2024,6,45.242,0.015100206333662426
DNK,2024,7,210.713,0.0703286719681935
DNK,2024,8,134.734,0.044969523897256385
DNK,2024,9,305.678,0.10202468661114149
DOM,2025,0,41.699,0.008112723253587436
DOM,2025,1,142.849,0.027791899183474703
DOM,2025,2,460.668,0.08962497891516864
DOM,2025,3,345.685,0.06725453219301118
DOM,2025,4,444.891,0.08655549440062756
DOM,2025,5,1300.374,0.25299346238903836
DOM,2025,6,217.695,0.04235351659967186
DOM,2025,7,777.049,0.1511782894428371
DOM,2025,8,505.082,0.09826591732100169
DOM,2025,9,903.959,0.17586918630158146
ECU,2025,0,31.337,0.003763188482339962
ECU,2025,1,81.109,0.00974019384797881
ECU,2025,2,624.736,0.07502311388145447
ECU,2025,3,378.047,0.04539879746571707
ECU,2025,4,239.855,0.028803637024337095
ECU,2025,5,1576.963,0.18937387110049697
ECU,2025,6,1785.335,0.21439678683723445
ECU,2025,7,899.683,0.10804086872888484
ECU,2025,8,546.298,0.06560367429956143
ECU,2025,9,2163.884,0.259855868331995
EGY,2024,1,1094.682,0.03657772545290865
EGY,2024,2,3590.112,0.11996007158352179
EGY,2024,3,1998.019,0.06676184538678365
EGY,2024,4,1402.85,0.046874856946229955
EGY,2024,5,5463.173,0.18254656794917914
EGY,2024,6,5138.556,0.1716998092527295
EGY,2024,7,5767.076,0.19270118865027344
EGY,2024,8,3782.174,0.12637763495437884
EGY,2024,9,1690.916,0.056500299823994994
ESP,2025,0,95.699,0.004306669967431425
ESP,2025,1,942.228,0.04240237651462373
ESP,2025,2,4509.644,0.20294410995524845
ESP,2025,3,2648.167,0.11917346354343278
ESP,2025,4,2179.055,0.09806236978318773
ESP,2025,5,4667.395,0.21004325930928847
ESP,2025,6,438.12,0.019716384143314516
ESP,2025,7,2417.535,0.10879450547774093
ESP,2025,8,1644.565,0.07400911916518314
ESP,2025,9,2678.705,0.12054774214054896
EST,2024,0,2.324,0.0033018492629090365
EST,2024,1,51.644,0.07337379661517826
EST,2024,2,175.414,0.24922142280719697
EST,2024,3,99.848,0.14186017435582682
EST,2024,4,47.931,0.06809850990554778
EST,2024,5,88.712,0.12603857651083755
EST,2024,6,9.387,0.013336686330003069
EST,2024,7,98.371,0.13976170991464065
EST,2024,8,69.218,0.09834225571430194
EST,2024,9,60.999,0.08666501858355781
ETH,2021,0,69.925,0.0019125336611394601
ETH,2021,1,194.984,0.005333049172450719
ETH,2021,2,959.655,0.026247729575699513
ETH,2021,3,473.405,0.01294820161389669
ETH,2021,4,199.565,0.005458345085238418
ETH,2021,5,4400.864,0.12036897444543222
ETH,2021,6,18777.129,0.5135772795431953
ETH,2021,7,1020.993,0.027925398359496045
ETH,2021,8,621.147,0.016989124719568
ETH,2021,9,9843.781,0.2692393638238836
FIN,2024,0,9.47,0.0036616142576376748
FIN,2024,1,83.814,0.03240702612351046
FIN,2024,2,689.4,0.2665593314905399
FIN,2024,3,481.491,0.18617046573645424
FIN,2024,4,124.588,0.048172460098264265
FIN,2024,5,514.179,0.19880941471783337
FIN,2024,6,66.383,0.02566725863408255
FIN,2024,7,253.924,0.09818075382855215
FIN,2024,8,187.185,0.0723758463374771
FIN,2024,9,175.857,0.0679958287756482
FJI,2024,1,16.93,0.05306528001103306
FJI,2024,2,32.99,0.10340363777696285
FJI,2024,3,23.717,0.07433840791622393
FJI,2024,4,19.971,0.0625969702953539
FJI,2024,5,53.47,0.1675960143053714
FJI,2024,6,76.906,0.24105365768036086
FJI,2024,7,33.426,0.10477023329289967
FJI,2024,8,26.395,0.0827323134017258
FJI,2024,9,35.236,0.11044348532006858
GBR,2025,0,30.197,0.0008859148920277839
GBR,2025,1,5547.083,0.16273945878776552
GBR,2025,2,8565.555,0.2512949211174304
GBR,2025,3,4816.506,0.14130590432629644
GBR,2025,4,3018.432,0.08855428881588263
GBR,2025,5,5085.03,0.14918381969758723
GBR,2025,6,353.503,0.01037101606373142
GBR,2025,7,2085.94,0.061196983471087714
GBR,2025,8,1475.275,0.04328138862589956
GBR,2025,9,3108.146,0.09118630420229125
GEO,2024,0,10.393,0.005706498314076487
GEO,2024,1,90.961,0.04994407708522191
GEO,2024,2,238.247,0.13081459673181764
GEO,2024,3,133.657,0.07338722651443481
GEO,2024,4,64.024,0.03515374271725517
GEO,2024,5,247.345,0.1358100476758634
GEO,2024,6,612.336,0.33621614083020684
GEO,2024,7,153.021,0.08401944371387453
GEO,2024,8,109.61,0.06018370828499218
GEO,2024,9,161.663,0.08876451813225701
GHA,2024,0,62.637,0.0012953185722258652
GHA,2024,1,919.705,0.019019285206331553
GHA,2024,2,2816.592,0.058246466592952954
GHA,2024,3,700.922,0.014494903719553904
GHA,2024,4,747.542,0.01545899446204109
GHA,2024,5,13963.985,0.2887719576733145
GHA,2024,6,17501.085,0.3619183619043617
GHA,2024,7,6396.961,0.1322876636669148
GHA,2024,8,2297.437,0.04751046210097666
GHA,2024,9,2949.578,0.060996586101327056
GIN,2019,0,32.55,0.010205806116021359
GIN,2019,1,25.448,0.007979027773902045
GIN,2019,2,173.241,0.05431840421952862
GIN,2019,3,37.445,0.011740596313807061
GIN,2019,4,37.133,0.011642771075459945
GIN,2019,5,1010.35,0.3167875947564418
GIN,2019,6,1254.086,0.3932091726210987
GIN,2019,7,345.033,0.10818248545711823
GIN,2019,8,102.372,0.03209796570535603
GIN,2019,9,171.703,0.053836175961266226
GMB,2023,0,2.187,0.003509340590570512
GMB,2023,1,12.13,0.019464243879113084
GMB,2023,2,37.841,0.06072105957374429
GMB,2023,3,17.297,0.027755402009647073
GMB,2023,4,5.55,0.008905734008992383
GMB,2023,5,186.205,0.2987913875935904
GMB,2023,6,158.306,0.2540236266716303
GMB,2023,7,95.869,0.1538349213888452
GMB,2023,8,30.045,0.04821131140543715
GMB,2023,9,77.764,0.12478297287842949
GNB,2022,0,7.313,0.010278646473874695
GNB,2022,1,2.07,0.0029094486805579947
GNB,2022,2,28.293,0.03976668189324993
GNB,2022,3,7.321,0.010289890719983132
GNB,2022,4,9.774,0.013737657682982532
GNB,2022,5,114.797,0.16135071506377593
GNB,2022,6,281.605,0.3958044906707895
GNB,2022,7,44.673,0.06278927580027407
GNB,2022,8,18.515,0.02602340208721318
GNB,2022,9,197.114,0.27704979092729887
GRD,2023,0,2.043,0.03912219222152008
GRD,2023,1,1.11,0.02125581662549549
GRD,2023,2,3.271,0.06263763619999617
GRD,2023,3,2.844,0.054460849083701954
GRD,2023,4,2.225,0.042607380172727444
GRD,2023,5,9.445,0.1808659351601846
GRD,2023,6,2.871,0.054977882461078875
GRD,2023,7,5.112,0.09789165278336301
GRD,2023,8,1.297,0.02483675149843932
GRD,2023,9,22.003,0.421343903793493
GTM,2024,1,56.83,0.007502220105342628
GTM,2024,2,446.64,0.058961667919236876
GTM,2024,3,357.765,0.04722913559718292
GTM,2024,4,295.705,0.039036494743099455
GTM,2024,5,1792.168,0.2365869928163239
GTM,2024,6,912.664,0.12048224899212431
GTM,2024,7,1504.517,0.19861371962396226
GTM,2024,8,439.67,0.058041546959633886
GTM,2024,9,1769.132,0.2335459732430937
GUY,2019,0,1.748,0.007271335629544585
GUY,2019,1,11.193,0.04656067488643738
GUY,2019,2,22.409,0.09321702524168456
GUY,2019,3,13.556,0.05639028935589611
GUY,2019,4,11.63,0.04837850879382353
GUY,2019,5,62.324,0.25925556165659996
GUY,2019,6,21.293,0.08857468510291353
GUY,2019,7,27.031,0.11244363466946206
GUY,2019,8,21.461,0.08927353200552422
GUY,2019,9,47.751,0.19863475265811412
HKG,2024,1,437.7,0.11878112169868131
HKG,2024,2,450.38,0.12222216493180738
HKG,2024,3,610.04,0.1655500010990714
HKG,2024,4,439.475,0.11926281347618911
HKG,2024,5,699.103,0.1897195305526918
HKG,2024,7,233.312,0.06331519548951962
HKG,2024,8,151.386,0.041082474044954465
HKG,2024,9,663.533,0.18006669870708503
HND,2025,0,7.55,0.0018528343948888274
HND,2025,1,88.362,0.02168478845048564
HND,2025,2,232.601,0.05708226928285247
HND,2025,3,219.221,0.0537987031631687
HND,2025,4,133.728,0.032817991782740814
HND,2025,5,1025.976,0.2517832610768821
HND,2025,6,303.378,0.07445154874868644
HND,2025,7,637.675,0.1564908838093686
HND,2025,8,255.443,0.06268789090511083
HND,2025,9,1170.904,0.2873498283858156
HRV,2024,0,15.34,0.00915613174324631
HRV,2024,1,117.521,0.0701458773531975
HRV,2024,2,349.652,0.2087001157946257
HRV,2024,3,244.495,0.1459340567513042
HRV,2024,4,147.066,0.0877806825914121
HRV,2024,5,293.126,0.17496090439183945
HRV,2024,6,39.208,0.02340245198104311
HRV,2024,7,192.931,0.11515656149649633
HRV,2024,8,156.703,0.09353281046687917
HRV,2024,9,119.338,0.07123040742995619
HUN,2024,0,22.825,0.004841360340594208
HUN,2024,1,201.747,0.042792110608274245
HUN,2024,2,957.094,0.20300709458140953
HUN,2024,3,773.104,0.16398138202649482
HUN,2024,4,378.563,0.08029616186709156
HUN,2024,5,673.115,0.14277293606392422
HUN,2024,6,119.106,0.02526331061234671
HUN,2024,7,633.816,0.13443731196644287
HUN,2024,8,550.555,0.116777005139796
HUN,2024,9,404.659,0.08583132679362591
IDN,2023,0,539.969,0.0038779052168891833
IDN,2023,1,2993.568,0.02149896191135513
IDN,2023,2,8381.198,0.06019140255826018
IDN,2023,3,4126.034,0.029632013640898167
IDN,2023,4,5783.354,0.04153441891611727
IDN,2023,5,34844.048,0.2502401351128252
IDN,2023,6,30106.83,0.21621877019050312
IDN,2023,7,16139.778,0.11591133806872851
IDN,2023,8,9316.055,0.06690528212791208
IDN,2023,9,27011.61,0.19398977225651107
IMN,2016,1,5.994,0.14396195599961573
IMN,2016,2,7.853,0.18861081756172543
IMN,2016,3,4.071,0.09777596310884812
IMN,2016,4,6.596,0.15842059755980403
IMN,2016,5,6.459,0.15513017580939573
IMN,2016,7,5.479,0.13159285233932175
IMN,2016,8,1.896,0.04553751561149006
IMN,2016,9,3.288,0.07897012200979922
IND,2024,1,17061.987,0.03534015343027746
IND,2024,2,27347.003,0.05664330197170224
IND,2024,3,11676.558,0.0241854217364914
IND,2024,4,10994.561,0.022772814950482893
IND,2024,5,60396.188,0.12509741980953815
IND,2024,6,170087.957,0.35229979351305535
IND,2024,7,54618.291,0.1131297769737805
IND,2024,8,28454.456,0.058937147286249776
IND,2024,9,102156.234,0.21159417032842226
IRL,2024,0,5.63,0.002060097018494402
IRL,2024,1,248.584,0.09096041869367895
IRL,2024,2,791.997,0.28980295885550816
IRL,2024,3,351.655,0.1286755625290673
IRL,2024,4,234.399,0.08576992558402653
IRL,2024,5,430.094,0.157377507472883
IRL,2024,6,87.289,0.03194028572777227
IRL,2024,7,220.414,0.08065261531694941
IRL,2024,8,140.984,0.05158804938817314
IRL,2024,9,221.835,0.08117257941344684
IRN,2024,1,766.716,0.03184625065678665
IRN,2024,2,3013.524,0.1251694769174536
IRN,2024,3,1430.601,0.059421321631281526
IRN,2024,4,843.842,0.03504974964227193
IRN,2024,5,4047.904,0.16813339674483033
IRN,2024,6,2534.892,0.10528905881693251
IRN,2024,7,4572.358,0.189917073545568
IRN,2024,8,3448.388,0.1432319510873064
IRN,2024,9,3417.325,0.14194172095756896
IRQ,2021,0,443.157,0.05236588683711495
IRQ,2021,1,62.331,0.007365376361976031
IRQ,2021,2,1405.016,0.16602447633758668
IRQ,2021,3,478.675,0.05656289053711438
IRQ,2021,4,157.579,0.01862040785072951
IRQ,2021,5,1989.395,0.23507793726449608
IRQ,2021,6,729.944,0.08625422796307185
IRQ,2021,7,1791.239,0.2116627262397456
IRQ,2021,8,914.644,0.10807940346253396
IRQ,2021,9,490.724,0.05798666714563099
ISL,2024,1,30.135,0.13164677512363046
ISL,2024,2,62.939,0.27495325633005396
ISL,2024,3,32.494,0.1419522253481748
ISL,2024,4,7.828,0.034197144704422734
ISL,2024,5,43.862,0.1916140982403411
ISL,2024,6,6.225,0.027194331347091403
ISL,2024,7,22.512,0.09834518671256574
