task_id,Low income,Lower middle income,Upper middle income,High income
356,non_exposed,non_exposed,non_exposed,non_exposed
357,non_exposed,non_exposed,both,both
358,non_exposed,non_exposed,non_exposed,non_exposed
359,non_exposed,non_exposed,non_exposed,non_exposed
360,non_exposed,non_exposed,non_exposed,non_exposed
361,non_exposed,non_exposed,non_exposed,non_exposed
362,non_exposed,non_exposed,non_exposed,non_exposed
364,non_exposed,non_exposed,aug_only,aug_only
365,non_exposed,non_exposed,non_exposed,aug_only
366,non_exposed,non_exposed,non_exposed,non_exposed
367,non_exposed,non_exposed,non_exposed,non_exposed
369,non_exposed,non_exposed,aug_only,both
370,both,both,both,both
371,non_exposed,non_exposed,non_exposed,non_exposed
372,non_exposed,non_exposed,both,non_exposed
373,non_exposed,non_exposed,non_exposed,aug_only
374,non_exposed,non_exposed,both,both
375,non_exposed,non_exposed,non_exposed,non_exposed
377,non_exposed,non_exposed,non_exposed,non_exposed
378,non_exposed,non_exposed,non_exposed,non_exposed
379,non_exposed,non_exposed,non_exposed,non_exposed
381,non_exposed,non_exposed,aug_only,non_exposed
382,non_exposed,non_exposed,both,both
383,non_exposed,non_exposed,non_exposed,non_exposed
384,non_exposed,non_exposed,non_exposed,non_exposed
386,non_exposed,non_exposed,non_exposed,non_exposed
387,non_exposed,aug_only,aug_only,aug_only
388,non_exposed,both,both,both
389,non_exposed,non_exposed,non_exposed,non_exposed
390,non_exposed,non_exposed,non_exposed,non_exposed
391,non_exposed,non_exposed,non_exposed,non_exposed
392,non_exposed,non_exposed,non_exposed,non_exposed
393,non_exposed,non_exposed,non_exposed,non_exposed
394,non_exposed,both,both,both
395,non_exposed,non_exposed,non_exposed,non_exposed
396,non_exposed,both,both,both
397,non_exposed,non_exposed,non_exposed,non_exposed
398,non_exposed,sub_only,non_exposed,both
399,both,both,both,both
400,non_exposed,non_exposed,aug_only,non_exposed
401,non_exposed,non_exposed,non_exposed,aug_only
403,non_exposed,non_exposed,non_exposed,non_exposed
404,sub_only,both,both,sub_only
405,non_exposed,non_exposed,non_exposed,non_exposed
407,non_exposed,non_exposed,non_exposed,non_exposed
408,both,sub_only,sub_only,sub_only
409,non_exposed,aug_only,non_exposed,aug_only
410,non_exposed,non_exposed,non_exposed,non_exposed
411,non_exposed,non_exposed,non_exposed,non_exposed
412,non_exposed,non_exposed,non_exposed,non_exposed
413,both,non_exposed,aug_only,both
414,non_exposed,non_exposed,non_exposed,non_exposed
415,non_exposed,non_exposed,non_exposed,non_exposed
417,non_exposed,non_exposed,both,non_exposed
418,non_exposed,non_exposed,both,both
419,non_exposed,non_exposed,non_exposed,non_exposed
420,non_exposed,non_exposed,non_exposed,non_exposed
421,non_exposed,non_exposed,non_exposed,non_exposed
422,sub_only,sub_only,sub_only,sub_only
424,non_exposed,non_exposed,non_exposed,non_exposed
425,non_exposed,non_exposed,both,both
427,non_exposed,non_exposed,non_exposed,non_exposed
428,non_exposed,non_exposed,non_exposed,non_exposed
431,both,both,both,both
432,non_exposed,both,both,aug_only
433,non_exposed,non_exposed,non_exposed,non_exposed
436,non_exposed,non_exposed,both,non_exposed
438,sub_only,sub_only,sub_only,sub_only
439,sub_only,sub_only,both,both
440,non_exposed,non_exposed,non_exposed,non_exposed
441,sub_only,sub_only,sub_only,both
442,non_exposed,non_exposed,non_exposed,non_exposed
443,non_exposed,sub_only,sub_only,sub_only
444,non_exposed,non_exposed,sub_only,both
445,non_exposed,non_exposed,non_exposed,non_exposed
446,both,sub_only,sub_only,sub_only
449,non_exposed,non_exposed,non_exposed,non_exposed
450,sub_only,sub_only,sub_only,non_exposed
507,non_exposed,non_exposed,non_exposed,aug_only
509,non_exposed,both,both,both
510,non_exposed,non_exposed,both,both
511,non_exposed,non_exposed,non_exposed,non_exposed
512,non_exposed,non_exposed,non_exposed,non_exposed
513,non_exposed,non_exposed,non_exposed,non_exposed
514,non_exposed,non_exposed,non_exposed,non_exposed
515,sub_only,sub_only,both,sub_only
517,non_exposed,non_exposed,non_exposed,non_exposed
518,non_exposed,non_exposed,sub_only,both
519,non_exposed,non_exposed,non_exposed,non_exposed
520,non_exposed,both,both,both
521,non_exposed,non_exposed,non_exposed,non_exposed
522,non_exposed,non_exposed,sub_only,non_exposed
523,both,both,sub_only,sub_only
524,non_exposed,non_exposed,non_exposed,non_exposed
525,sub_only,sub_only,sub_only,sub_only
527,non_exposed,non_exposed,non_exposed,non_exposed
528,both,sub_only,sub_only,sub_only
529,non_exposed,non_exposed,non_exposed,non_exposed
550,non_exposed,non_exposed,non_exposed,both
552,non_exposed,both,both,both
553,non_exposed,non_exposed,non_exposed,both
555,non_exposed,non_exposed,non_exposed,non_exposed
556,non_exposed,non_exposed,sub_only,sub_only
557,non_exposed,non_exposed,non_exposed,non_exposed
558,non_exposed,non_exposed,non_exposed,non_exposed
560,non_exposed,non_exposed,non_exposed,non_exposed
561,non_exposed,non_exposed,non_exposed,non_exposed
562,non_exposed,both,non_exposed,sub_only
563,both,sub_only,both,sub_only
565,non_exposed,non_exposed,non_exposed,aug_only
566,non_exposed,non_exposed,non_exposed,non_exposed
567,non_exposed,non_exposed,non_exposed,non_exposed
568,non_exposed,non_exposed,non_exposed,non_exposed
569,both,sub_only,sub_only,sub_only
570,non_exposed,both,both,non_exposed
571,non_exposed,both,sub_only,both
572,non_exposed,non_exposed,aug_only,aug_only
573,non_exposed,non_exposed,non_exposed,non_exposed
574,non_exposed,both,both,both
576,non_exposed,non_exposed,non_exposed,non_exposed
577,non_exposed,both,both,both
579,both,both,both,both
580,sub_only,sub_only,both,sub_only
581,non_exposed,non_exposed,non_exposed,non_exposed
582,non_exposed,sub_only,non_exposed,non_exposed
583,both,both,both,both
635,non_exposed,non_exposed,non_exposed,non_exposed
636,non_exposed,non_exposed,non_exposed,non_exposed
637,non_exposed,non_exposed,non_exposed,both
639,non_exposed,non_exposed,non_exposed,non_exposed
640,non_exposed,sub_only,sub_only,sub_only
641,non_exposed,non_exposed,non_exposed,non_exposed
642,sub_only,sub_only,sub_only,sub_only
643,non_exposed,non_exposed,non_exposed,non_exposed
644,non_exposed,non_exposed,non_exposed,non_exposed
645,non_exposed,non_exposed,non_exposed,non_exposed
646,non_exposed,non_exposed,non_exposed,non_exposed
648,non_exposed,non_exposed,non_exposed,non_exposed
649,non_exposed,non_exposed,non_exposed,non_exposed
650,non_exposed,non_exposed,non_exposed,non_exposed
651,non_exposed,non_exposed,non_exposed,non_exposed
652,non_exposed,both,both,both
653,non_exposed,non_exposed,non_exposed,non_exposed
654,non_exposed,non_exposed,non_exposed,non_exposed
656,non_exposed,non_exposed,non_exposed,non_exposed
657,non_exposed,both,both,both
658,non_exposed,both,both,both
659,both,both,both,sub_only
660,non_exposed,non_exposed,aug_only,both
661,both,sub_only,sub_only,sub_only
662,sub_only,sub_only,sub_only,sub_only
663,non_exposed,non_exposed,both,both
664,non_exposed,non_exposed,both,both
665,non_exposed,non_exposed,both,both
666,non_exposed,non_exposed,non_exposed,non_exposed
667,non_exposed,non_exposed,non_exposed,non_exposed
668,non_exposed,non_exposed,non_exposed,non_exposed
669,non_exposed,aug_only,both,both
670,both,both,both,both
671,non_exposed,non_exposed,both,both
672,sub_only,both,sub_only,sub_only
673,both,sub_only,sub_only,sub_only
674,both,both,both,both
675,non_exposed,non_exposed,non_exposed,non_exposed
676,non_exposed,non_exposed,non_exposed,non_exposed
677,both,both,both,both
678,sub_only,sub_only,sub_only,sub_only
679,non_exposed,non_exposed,non_exposed,non_exposed
680,non_exposed,non_exposed,both,both
681,both,sub_only,sub_only,sub_only
682,non_exposed,non_exposed,non_exposed,non_exposed
683,sub_only,sub_only,sub_only,sub_only
684,sub_only,sub_only,sub_only,sub_only
686,non_exposed,non_exposed,non_exposed,both
687,non_exposed,both,both,both
688,both,sub_only,sub_only,sub_only
689,both,both,sub_only,sub_only
690,both,both,both,sub_only
691,non_exposed,both,both,both
692,non_exposed,non_exposed,both,non_exposed
693,non_exposed,non_exposed,both,sub_only
694,non_exposed,non_exposed,both,non_exposed
695,sub_only,sub_only,sub_only,sub_only
696,non_exposed,non_exposed,both,both
697,sub_only,sub_only,sub_only,sub_only
698,sub_only,sub_only,sub_only,sub_only
699,non_exposed,non_exposed,both,both
701,non_exposed,both,both,both
702,non_exposed,non_exposed,non_exposed,non_exposed
703,non_exposed,non_exposed,both,both
705,both,sub_only,both,sub_only
706,non_exposed,non_exposed,both,non_exposed
707,non_exposed,non_exposed,non_exposed,sub_only
708,both,both,both,both
709,non_exposed,non_exposed,non_exposed,sub_only
710,non_exposed,non_exposed,non_exposed,non_exposed
711,sub_only,both,sub_only,sub_only
712,non_exposed,non_exposed,non_exposed,non_exposed
713,non_exposed,both,both,both
714,both,both,both,both
716,both,both,sub_only,sub_only
717,sub_only,sub_only,both,sub_only
718,non_exposed,non_exposed,aug_only,both
719,sub_only,sub_only,sub_only,sub_only
720,non_exposed,aug_only,both,both
722,non_exposed,non_exposed,both,both
723,non_exposed,non_exposed,both,both
724,non_exposed,non_exposed,both,both
725,sub_only,sub_only,sub_only,sub_only
726,sub_only,sub_only,sub_only,sub_only
727,non_exposed,non_exposed,both,non_exposed
728,both,sub_only,sub_only,sub_only
730,non_exposed,non_exposed,both,both
731,non_exposed,non_exposed,non_exposed,aug_only
732,non_exposed,non_exposed,non_exposed,non_exposed
735,sub_only,both,sub_only,both
736,non_exposed,non_exposed,both,both
737,sub_only,sub_only,sub_only,sub_only
738,non_exposed,both,both,both
739,sub_only,sub_only,sub_only,sub_only
740,sub_only,sub_only,sub_only,sub_only
741,both,both,both,both
742,sub_only,sub_only,sub_only,sub_only
743,sub_only,sub_only,sub_only,sub_only
744,sub_only,sub_only,sub_only,sub_only
746,sub_only,sub_only,sub_only,sub_only
747,non_exposed,non_exposed,sub_only,both
748,non_exposed,non_exposed,both,both
750,sub_only,sub_only,sub_only,sub_only
751,sub_only,sub_only,sub_only,sub_only
753,both,both,sub_only,sub_only
754,sub_only,sub_only,sub_only,sub_only
756,sub_only,sub_only,sub_only,sub_only
757,sub_only,sub_only,sub_only,sub_only
759,non_exposed,both,sub_only,sub_only
760,sub_only,sub_only,sub_only,sub_only
762,non_exposed,non_exposed,non_exposed,non_exposed
764,sub_only,sub_only,sub_only,sub_only
766,both,sub_only,sub_only,sub_only
767,sub_only,sub_only,sub_only,sub_only
768,sub_only,sub_only,both,sub_only
769,non_exposed,sub_only,both,sub_only
770,both,both,both,both
771,both,both,both,both
772,both,both,both,both
773,sub_only,sub_only,sub_only,sub_only
774,both,sub_only,sub_only,sub_only
775,both,sub_only,sub_only,sub_only
776,sub_only,sub_only,sub_only,sub_only
777,sub_only,sub_only,sub_only,sub_only
778,sub_only,sub_only,sub_only,sub_only
779,non_exposed,both,sub_only,sub_only
780,non_exposed,both,both,both
781,sub_only,sub_only,sub_only,sub_only
782,sub_only,both,sub_only,both
784,sub_only,sub_only,sub_only,sub_only
786,both,sub_only,sub_only,sub_only
787,sub_only,sub_only,sub_only,sub_only
788,sub_only,both,sub_only,sub_only
789,both,both,both,both
790,sub_only,sub_only,sub_only,sub_only
791,sub_only,sub_only,sub_only,sub_only
792,non_exposed,sub_only,sub_only,sub_only
793,both,sub_only,sub_only,sub_only
794,sub_only,sub_only,sub_only,sub_only
795,non_exposed,sub_only,sub_only,sub_only
796,sub_only,sub_only,sub_only,sub_only
797,sub_only,sub_only,sub_only,sub_only
798,sub_only,sub_only,sub_only,sub_only
799,sub_only,sub_only,sub_only,sub_only
800,sub_only,sub_only,sub_only,sub_only
801,sub_only,sub_only,sub_only,sub_only
802,sub_only,sub_only,sub_only,sub_only
803,sub_only,sub_only,sub_only,sub_only
804,non_exposed,non_exposed,non_exposed,sub_only
805,sub_only,sub_only,sub_only,sub_only
806,sub_only,sub_only,sub_only,sub_only
807,sub_only,sub_only,sub_only,sub_only
825,sub_only,both,sub_only,sub_only
826,both,both,both,sub_only
827,sub_only,sub_only,sub_only,sub_only
828,sub_only,sub_only,sub_only,sub_only
829,sub_only,sub_only,sub_only,sub_only
830,non_exposed,sub_only,non_exposed,sub_only
831,sub_only,both,sub_only,sub_only
832,sub_only,sub_only,sub_only,sub_only
833,sub_only,sub_only,sub_only,sub_only
834,sub_only,both,sub_only,sub_only
836,sub_only,sub_only,sub_only,sub_only
837,both,both,sub_only,both
838,sub_only,both,sub_only,sub_only
839,non_exposed,non_exposed,both,both
840,sub_only,sub_only,sub_only,sub_only
841,sub_only,sub_only,sub_only,sub_only
842,non_exposed,non_exposed,non_exposed,non_exposed
843,both,sub_only,sub_only,sub_only
844,non_exposed,both,both,both
869,non_exposed,non_exposed,both,aug_only
870,both,both,both,both
872,non_exposed,non_exposed,non_exposed,both
873,non_exposed,non_exposed,both,both
880,non_exposed,non_exposed,non_exposed,non_exposed
882,non_exposed,non_exposed,aug_only,both
883,non_exposed,non_exposed,both,both
884,non_exposed,non_exposed,aug_only,both
885,non_exposed,non_exposed,both,both
888,non_exposed,both,both,both
889,non_exposed,non_exposed,aug_only,aug_only
890,sub_only,both,both,sub_only
891,non_exposed,both,both,both
892,sub_only,sub_only,sub_only,sub_only
893,non_exposed,non_exposed,non_exposed,non_exposed
894,sub_only,sub_only,sub_only,sub_only
895,non_exposed,non_exposed,non_exposed,non_exposed
896,sub_only,sub_only,sub_only,sub_only
897,non_exposed,non_exposed,non_exposed,non_exposed
898,non_exposed,non_exposed,non_exposed,aug_only
899,sub_only,sub_only,sub_only,sub_only
900,non_exposed,sub_only,sub_only,sub_only
901,non_exposed,non_exposed,non_exposed,aug_only
925,non_exposed,both,sub_only,sub_only
926,non_exposed,both,both,both
927,both,both,sub_only,sub_only
928,non_exposed,non_exposed,both,non_exposed
929,sub_only,sub_only,sub_only,sub_only
930,non_exposed,non_exposed,non_exposed,non_exposed
932,non_exposed,non_exposed,non_exposed,non_exposed
933,non_exposed,non_exposed,both,aug_only
944,both,both,both,both
945,non_exposed,aug_only,both,aug_only
947,non_exposed,non_exposed,non_exposed,both
948,non_exposed,non_exposed,both,aug_only
949,non_exposed,non_exposed,both,both
950,both,non_exposed,aug_only,aug_only
952,non_exposed,both,both,both
954,non_exposed,non_exposed,both,both
955,non_exposed,non_exposed,non_exposed,non_exposed
956,non_exposed,non_exposed,non_exposed,non_exposed
958,non_exposed,both,both,both
959,non_exposed,aug_only,both,both
960,non_exposed,non_exposed,non_exposed,non_exposed
961,non_exposed,non_exposed,non_exposed,both
962,non_exposed,non_exposed,non_exposed,aug_only
963,non_exposed,both,both,both
965,both,both,both,both
966,sub_only,sub_only,sub_only,sub_only
967,non_exposed,non_exposed,non_exposed,non_exposed
968,non_exposed,non_exposed,non_exposed,both
969,non_exposed,both,both,both
971,non_exposed,non_exposed,both,aug_only
972,non_exposed,non_exposed,non_exposed,both
973,non_exposed,both,both,aug_only
975,non_exposed,non_exposed,non_exposed,non_exposed
976,non_exposed,non_exposed,non_exposed,non_exposed
977,non_exposed,non_exposed,both,both
979,non_exposed,both,aug_only,both
980,both,both,both,both
981,both,both,both,both
982,non_exposed,sub_only,both,both
983,non_exposed,both,both,both
984,non_exposed,both,both,both
985,non_exposed,non_exposed,both,both
986,non_exposed,non_exposed,non_exposed,non_exposed
987,non_exposed,non_exposed,non_exposed,aug_only
988,non_exposed,both,both,both
989,non_exposed,non_exposed,both,both
990,non_exposed,non_exposed,non_exposed,non_exposed
991,non_exposed,non_exposed,non_exposed,non_exposed
993,sub_only,sub_only,sub_only,sub_only
994,non_exposed,both,both,both
996,non_exposed,non_exposed,both,both
997,non_exposed,non_exposed,both,aug_only
999,non_exposed,non_exposed,non_exposed,non_exposed
1002,both,both,sub_only,sub_only
1003,non_exposed,both,both,both
1005,both,non_exposed,both,both
1006,non_exposed,both,non_exposed,non_exposed
1008,non_exposed,both,both,both
1009,non_exposed,non_exposed,both,both
1010,non_exposed,non_exposed,non_exposed,both
1012,non_exposed,both,both,both
1013,both,both,both,both
1014,non_exposed,non_exposed,aug_only,both
1015,non_exposed,aug_only,aug_only,both
1016,non_exposed,sub_only,both,both
1017,non_exposed,non_exposed,non_exposed,non_exposed
1018,non_exposed,non_exposed,both,non_exposed
1019,both,both,both,both
1020,sub_only,sub_only,sub_only,sub_only
1021,non_exposed,non_exposed,non_exposed,both
1022,sub_only,sub_only,sub_only,sub_only
1023,both,both,both,both
1026,non_exposed,both,both,both
1027,non_exposed,non_exposed,non_exposed,non_exposed
1028,non_exposed,aug_only,both,aug_only
1029,non_exposed,non_exposed,non_exposed,non_exposed
1030,non_exposed,non_exposed,non_exposed,non_exposed
1031,non_exposed,non_exposed,non_exposed,both
1032,non_exposed,non_exposed,aug_only,non_exposed
1033,both,both,both,both
1034,both,both,both,sub_only
1035,both,both,both,both
1036,non_exposed,sub_only,sub_only,sub_only
1060,non_exposed,non_exposed,non_exposed,non_exposed
1063,non_exposed,aug_only,both,both
1070,non_exposed,non_exposed,non_exposed,non_exposed
1071,non_exposed,non_exposed,non_exposed,non_exposed
1077,non_exposed,non_exposed,non_exposed,non_exposed
1078,non_exposed,non_exposed,non_exposed,both
1079,non_exposed,both,both,both
1080,non_exposed,both,aug_only,aug_only
1081,sub_only,sub_only,sub_only,sub_only
1082,both,both,sub_only,sub_only
1083,non_exposed,both,both,both
1085,sub_only,sub_only,sub_only,sub_only
1086,non_exposed,non_exposed,non_exposed,non_exposed
1087,both,both,both,sub_only
1088,non_exposed,non_exposed,both,aug_only
1089,non_exposed,non_exposed,both,both
1090,sub_only,sub_only,sub_only,sub_only
1091,non_exposed,non_exposed,both,non_exposed
1092,both,both,sub_only,sub_only
1093,both,sub_only,sub_only,both
1096,non_exposed,both,both,both
1097,non_exposed,aug_only,both,aug_only
1098,non_exposed,non_exposed,non_exposed,sub_only
1099,non_exposed,non_exposed,non_exposed,non_exposed
1100,both,both,both,both
1101,non_exposed,non_exposed,non_exposed,non_exposed
1103,non_exposed,both,both,both
1104,both,sub_only,sub_only,sub_only
1105,both,both,both,both
