quarter,country,rank
2025-04-01,FI,14
2025-04-01,ME,15
2025-04-01,QA,16
2025-04-01,BE,17
2025-04-01,DK,18
2025-04-01,NO,19
2025-04-01,AU,20
2025-04-01,CZ,21
2025-04-01,CA,22
2025-04-01,SE,23
2025-04-01,PT,24
2025-04-01,ES,25
2025-04-01,FR,26
2025-04-01,TW,27
2025-04-01,KR,28
2025-04-01,DE,29
2025-04-01,AT,30
2025-04-01,SI,31
2025-04-01,GE,32
2025-04-01,MD,33
2025-04-01,IE,34
2025-04-01,GP,35
2025-04-01,BN,36
2025-04-01,GR,37
2025-04-01,PL,38
2025-04-01,UY,39
2025-04-01,HR,40
2025-04-01,MQ,41
2025-04-01,RE,42
2025-04-01,NZ,43
2025-04-01,AZ,44
2025-04-01,BG,45
2025-04-01,MY,46
2025-04-01,GB,47
2025-04-01,KZ,48
2025-04-01,SK,49
2025-04-01,US,50
2025-04-01,AL,51
2025-04-01,HU,52
2025-04-01,BH,53
2025-04-01,LB,54
2025-04-01,SA,55
2025-04-01,AM,56
2025-04-01,RO,57
2025-04-01,RS,58
2025-04-01,CL,59
2025-04-01,CR,60
2025-04-01,PR,61
2025-04-01,MV,62
2025-04-01,BA,63
2025-04-01,PE,64
2025-04-01,IT,65
2025-04-01,AR,66
2025-04-01,MK,67
2025-04-01,MN,68
2025-04-01,UA,69
2025-04-01,PA,70
2025-04-01,MU,71
2025-04-01,EC,72
2025-04-01,BR,73
2025-04-01,TN,74
2025-04-01,JO,75
2025-04-01,OM,76
2025-04-01,KW,77
2025-04-01,DO,78
2025-04-01,TR,79
2025-04-01,PS,80
2025-04-01,JP,81
2025-04-01,TT,82
2025-04-01,CO,83
2025-04-01,KG,84
2025-04-01,VN,85
2025-04-01,BO,86
2025-04-01,MA,87
2025-04-01,DZ,88
2025-04-01,LY,89
2025-04-01,SV,90
2025-04-01,BT,91
2025-04-01,PY,92
2025-04-01,PH,93
2025-04-01,MX,94
2025-04-01,JM,95
2025-04-01,UZ,96
2025-04-01,TH,97
2025-04-01,GY,98
2025-04-01,IQ,99
2025-04-01,NI,100
2025-04-01,ID,101
2025-04-01,EG,102
2025-04-01,LK,103
2025-04-01,NP,104
2025-04-01,HN,105
2025-04-01,GT,106
2025-04-01,NA,107
2025-04-01,ZA,108
2025-04-01,GA,109
2025-04-01,BW,110
2025-04-01,KH,111
2025-04-01,KE,112
2025-04-01,IN,113
2025-04-01,BD,114
2025-04-01,PK,115
2025-04-01,SN,116
2025-04-01,GH,117
2025-04-01,SO,118
2025-04-01,LA,119
2025-04-01,TJ,120
2025-04-01,MR,121
2025-04-01,HT,122
2025-04-01,CI,123
2025-04-01,RW,124
2025-04-01,NG,125
2025-04-01,BJ,126
2025-04-01,YE,127
2025-04-01,AF,128
2025-04-01,MG,129
2025-04-01,MZ,130
2025-04-01,ZM,131
2025-04-01,CG,132
2025-04-01,CM,133
2025-04-01,TG,134
2025-04-01,AO,135
2025-04-01,MM,136
2025-04-01,PG,137
2025-04-01,TZ,138
2025-04-01,ZW,139
2025-04-01,SL,140
2025-04-01,GN,141
2025-04-01,BF,142
2025-04-01,UG,143
2025-04-01,MW,144
2025-04-01,ET,145
2025-04-01,ML,146
2025-04-01,CD,147
2025-04-01,SD,148
2025-07-01,SG,1
2025-07-01,NL,2
2025-07-01,ME,3
2025-07-01,IL,4
2025-07-01,QA,5
2025-07-01,LU,6
2025-07-01,FI,7
2025-07-01,AE,8
2025-07-01,CH,9
2025-07-01,IS,10
2025-07-01,MT,11
2025-07-01,EE,12
2025-07-01,AZ,13
2025-07-01,CY,14
2025-07-01,LT,15
2025-07-01,LV,16
2025-07-01,NO,17
2025-07-01,AU,18
2025-07-01,DE,19
2025-07-01,SE,20
2025-07-01,CA,21
2025-07-01,HR,22
2025-07-01,CZ,23
2025-07-01,GR,24
2025-07-01,BE,25
2025-07-01,BN,26
2025-07-01,KR,27
2025-07-01,DK,28
2025-07-01,FR,29
2025-07-01,PT,30
2025-07-01,NZ,31
2025-07-01,IE,32
2025-07-01,AT,33
2025-07-01,SI,34
2025-07-01,GE,35
2025-07-01,RS,36
2025-07-01,ES,37
2025-07-01,UY,38
2025-07-01,MY,39
2025-07-01,BG,40
2025-07-01,TW,41
2025-07-01,US,42
2025-07-01,PL,43
2025-07-01,SA,44
2025-07-01,GB,45
2025-07-01,MD,46
2025-07-01,HU,47
2025-07-01,KZ,48
2025-07-01,MV,49
2025-07-01,AL,50
2025-07-01,SK,51
2025-07-01,CR,52
2025-07-01,CL,53
2025-07-01,BA,54
2025-07-01,LB,55
2025-07-01,BH,56
2025-07-01,RO,57
2025-07-01,MU,58
2025-07-01,MK,59
2025-07-01,PR,60
2025-07-01,AM,61
2025-07-01,RE,62
2025-07-01,PE,63
2025-07-01,PA,64
2025-07-01,AR,65
2025-07-01,KW,66
2025-07-01,JP,67
2025-07-01,IT,68
2025-07-01,BR,69
2025-07-01,JO,70
2025-07-01,CO,71
2025-07-01,TR,72
2025-07-01,UA,73
2025-07-01,EC,74
2025-07-01,OM,75
2025-07-01,PS,76
2025-07-01,MN,77
2025-07-01,PH,78
2025-07-01,TT,79
2025-07-01,DO,80
2025-07-01,TN,81
2025-07-01,VN,82
2025-07-01,DZ,83
2025-07-01,LY,84
2025-07-01,TH,85
2025-07-01,BO,86
2025-07-01,KG,87
2025-07-01,PY,88
2025-07-01,MA,89
2025-07-01,MX,90
2025-07-01,SV,91
2025-07-01,IQ,92
2025-07-01,FJ,93
2025-07-01,UZ,94
2025-07-01,EG,95
2025-07-01,NI,96
2025-07-01,JM,97
2025-07-01,ID,98
2025-07-01,NP,99
2025-07-01,LK,100
2025-07-01,GT,101
2025-07-01,HN,102
2025-07-01,ZA,103
2025-07-01,KH,104
2025-07-01,BW,105
2025-07-01,IN,106
2025-07-01,KE,107
2025-07-01,NA,108
2025-07-01,BD,109
2025-07-01,GA,110
2025-07-01,PK,111
2025-07-01,GH,112
2025-07-01,NG,113
2025-07-01,LA,114
2025-07-01,SN,115
2025-07-01,TJ,116
2025-07-01,SO,117
2025-07-01,CI,118
2025-07-01,YE,119
2025-07-01,BJ,120
2025-07-01,RW,121
2025-07-01,MR,122
2025-07-01,AF,123
2025-07-01,CG,124
2025-07-01,HT,125
2025-07-01,MM,126
2025-07-01,MG,127
2025-07-01,ZM,128
2025-07-01,AO,129
2025-07-01,MZ,130
2025-07-01,CM,131
2025-07-01,TG,132
2025-07-01,ZW,133
2025-07-01,TZ,134
2025-07-01,PG,135
2025-07-01,BF,136
2025-07-01,UG,137
2025-07-01,GN,138
2025-07-01,MW,139
2025-07-01,SD,140
2025-07-01,CD,141
2025-07-01,ML,142
2025-07-01,ET,143
2025-10-01,SG,1
2025-10-01,NL,2
2025-10-01,MT,3
2025-10-01,AZ,4
2025-10-01,LT,5
2025-10-01,ME,6
2025-10-01,IS,7
2025-10-01,IL,8
2025-10-01,LU,9
2025-10-01,AE,10
2025-10-01,LV,11
2025-10-01,CH,12
2025-10-01,FI,13
2025-10-01,BE,14
2025-10-01,EE,15
2025-10-01,NO,16
2025-10-01,CY,17
2025-10-01,CA,18
2025-10-01,SE,19
2025-10-01,GE,20
2025-10-01,SI,21
2025-10-01,DE,22
2025-10-01,DK,23
2025-10-01,FR,24
2025-10-01,AT,25
2025-10-01,ES,26
2025-10-01,IE,27
2025-10-01,AU,28
2025-10-01,KR,29
2025-10-01,QA,30
2025-10-01,CZ,31
2025-10-01,PT,32
2025-10-01,RS,33
2025-10-01,HR,34
2025-10-01,GR,35
2025-10-01,MD,36
2025-10-01,KZ,37
2025-10-01,SA,38
2025-10-01,BH,39
2025-10-01,HU,40
2025-10-01,MK,41
2025-10-01,US,42
2025-10-01,GB,43
2025-10-01,SK,44
2025-10-01,PL,45
2025-10-01,BG,46
2025-10-01,TW,47
2025-10-01,MV,48
2025-10-01,BA,49
2025-10-01,NZ,50
2025-10-01,AL,51
2025-10-01,LB,52
2025-10-01,UY,53
2025-10-01,MY,54
2025-10-01,MQ,55
2025-10-01,RO,56
2025-10-01,RE,57
2025-10-01,CL,58
2025-10-01,CR,59
2025-10-01,PR,60
2025-10-01,BN,61
2025-10-01,AM,62
2025-10-01,MU,63
2025-10-01,PE,64
2025-10-01,TR,65
2025-10-01,KW,66
2025-10-01,AR,67
2025-10-01,OM,68
2025-10-01,JP,69
2025-10-01,MN,70
2025-10-01,IT,71
2025-10-01,UA,72
2025-10-01,JO,73
2025-10-01,PA,74
2025-10-01,TN,75
2025-10-01,BR,76
2025-10-01,EC,77
2025-10-01,PS,78
2025-10-01,CO,79
2025-10-01,KG,80
2025-10-01,DO,81
2025-10-01,DZ,82
2025-10-01,TT,83
2025-10-01,VN,84
2025-10-01,PH,85
2025-10-01,LY,86
2025-10-01,MA,87
2025-10-01,UZ,88
2025-10-01,MX,89
2025-10-01,BO,90
2025-10-01,PY,91
2025-10-01,SV,92
2025-10-01,GY,93
2025-10-01,TH,94
2025-10-01,IQ,95
2025-10-01,JM,96
2025-10-01,EG,97
2025-10-01,ID,98
2025-10-01,NI,99
2025-10-01,LK,100
2025-10-01,HN,101
2025-10-01,NP,102
2025-10-01,KH,103
2025-10-01,ZA,104
2025-10-01,GT,105
2025-10-01,GA,106
2025-10-01,BW,107
2025-10-01,NA,108
2025-10-01,IN,109
2025-10-01,KE,110
2025-10-01,PK,111
2025-10-01,BD,112
2025-10-01,GH,113
2025-10-01,TJ,114
2025-10-01,SO,115
2025-10-01,NG,116
2025-10-01,SN,117
2025-10-01,MR,118
2025-10-01,RW,119
2025-10-01,CI,120
2025-10-01,BJ,121
2025-10-01,YE,122
2025-10-01,LA,123
2025-10-01,CG,124
2025-10-01,HT,125
2025-10-01,CM,126
2025-10-01,TG,127
2025-10-01,ZM,128
2025-10-01,AF,129
2025-10-01,MG,130
2025-10-01,ZW,131
2025-10-01,AO,132
2025-10-01,MM,133
2025-10-01,MZ,134
2025-10-01,UG,135
2025-10-01,TZ,136
2025-10-01,BF,137
2025-10-01,MW,138
2025-10-01,GN,139
2025-10-01,ET,140
2025-10-01,CD,141
2025-10-01,SD,142
2025-10-01,ML,143
2026-01-01,SG,1
2026-01-01,NL,2
2026-01-01,LV,3
2026-01-01,LU,4
2026-01-01,LT,5
2026-01-01,MT,6
2026-01-01,ME,7
2026-01-01,EE,8
2026-01-01,CH,9
2026-01-01,AE,10
2026-01-01,IS,11
2026-01-01,IL,12
2026-01-01,AZ,13
2026-01-01,CY,14
2026-01-01,NO,15
2026-01-01,CA,16
2026-01-01,BE,17
2026-01-01,GE,18
2026-01-01,SE,19
2026-01-01,AT,20
2026-01-01,SI,21
2026-01-01,DK,22
2026-01-01,FR,23
2026-01-01,HR,24
2026-01-01,DE,25
2026-01-01,KR,26
2026-01-01,ES,27
2026-01-01,AU,28
2026-01-01,IE,29
2026-01-01,QA,30
2026-01-01,PT,31
2026-01-01,RS,32
2026-01-01,MD,33
2026-01-01,CZ,34
2026-01-01,RE,35
2026-01-01,FI,36
2026-01-01,GR,37
2026-01-01,MQ,38
2026-01-01,GB,39
2026-01-01,HU,40
2026-01-01,SK,41
2026-01-01,BG,42
2026-01-01,PL,43
2026-01-01,MK,44
2026-01-01,KZ,45
2026-01-01,UY,46
2026-01-01,US,47
2026-01-01,AM,48
2026-01-01,NZ,49
2026-01-01,AL,50
2026-01-01,BA,51
2026-01-01,RO,52
2026-01-01,CR,53
2026-01-01,PR,54
2026-01-01,BH,55
2026-01-01,SA,56
2026-01-01,JP,57
2026-01-01,LB,58
2026-01-01,BN,59
2026-01-01,MY,60
2026-01-01,TR,61
2026-01-01,CL,62
2026-01-01,TW,63
2026-01-01,MU,64
2026-01-01,AR,65
2026-01-01,MV,66
2026-01-01,BR,67
2026-01-01,IT,68
2026-01-01,KW,69
2026-01-01,PA,70
2026-01-01,MN,71
2026-01-01,DO,72
2026-01-01,UA,73
2026-01-01,EC,74
2026-01-01,JO,75
2026-01-01,CO,76
2026-01-01,OM,77
2026-01-01,PS,78
2026-01-01,TN,79
2026-01-01,KG,80
2026-01-01,PE,81
2026-01-01,TT,82
2026-01-01,DZ,83
2026-01-01,PH,84
2026-01-01,MX,85
2026-01-01,VN,86
2026-01-01,UZ,87
2026-01-01,MA,88
2026-01-01,GY,89
2026-01-01,LY,90
2026-01-01,TH,91
2026-01-01,SV,92
2026-01-01,JM,93
2026-01-01,BO,94
2026-01-01,PY,95
2026-01-01,IQ,96
2026-01-01,NI,97
2026-01-01,LK,98
2026-01-01,EG,99
2026-01-01,NP,100
2026-01-01,ID,101
2026-01-01,HN,102
2026-01-01,GT,103
2026-01-01,ZA,104
2026-01-01,NA,105
2026-01-01,IN,106
2026-01-01,BW,107
2026-01-01,KE,108
2026-01-01,KH,109
2026-01-01,GA,110
2026-01-01,TJ,111
2026-01-01,PK,112
2026-01-01,GH,113
2026-01-01,BD,114
2026-01-01,NG,115
2026-01-01,HT,116
2026-01-01,SN,117
2026-01-01,RW,118
2026-01-01,SO,119
2026-01-01,CI,120
2026-01-01,BJ,121
2026-01-01,MR,122
2026-01-01,CM,123
2026-01-01,AF,124
2026-01-01,LA,125
2026-01-01,CG,126
2026-01-01,ZW,127
2026-01-01,MM,128
2026-01-01,ZM,129
2026-01-01,TZ,130
2026-01-01,YE,131
2026-01-01,AO,132
2026-01-01,MG,133
2026-01-01,TG,134
2026-01-01,MZ,135
2026-01-01,GN,136
2026-01-01,BF,137
2026-01-01,PG,138
2026-01-01,UG,139
2026-01-01,MW,140
2026-01-01,CD,141
2026-01-01,ET,142
2026-01-01,SD,143
2026-01-01,ML,144
2026-04-01,SG,1
2026-04-01,MT,2
2026-04-01,NL,3
2026-04-01,ME,4
2026-04-01,LV,5
2026-04-01,AE,6
2026-04-01,EE,7
2026-04-01,LT,8
2026-04-01,AZ,9
2026-04-01,LU,10
2026-04-01,CH,11
2026-04-01,IL,12
2026-04-01,NO,13
2026-04-01,CY,14
2026-04-01,RE,15
2026-04-01,GE,16
2026-04-01,IS,17
2026-04-01,SI,18
2026-04-01,AU,19
2026-04-01,SE,20
2026-04-01,FR,21
2026-04-01,BE,22
2026-04-01,CA,23
2026-04-01,DK,24
2026-04-01,KR,25
2026-04-01,ES,26
2026-04-01,DE,27
2026-04-01,IE,28
2026-04-01,AT,29
2026-04-01,UY,30
2026-04-01,HR,31
2026-04-01,PT,32
2026-04-01,MQ,33
2026-04-01,QA,34
2026-04-01,FI,35
2026-04-01,CZ,36
2026-04-01,GR,37
2026-04-01,CR,38
2026-04-01,RS,39
2026-04-01,NZ,40
2026-04-01,GB,41
2026-04-01,SK,42
2026-04-01,HU,43
2026-04-01,BH,44
2026-04-01,PL,45
2026-04-01,BG,46
2026-04-01,CL,47
2026-04-01,BN,48
2026-04-01,SA,49
2026-04-01,MD,50
2026-04-01,US,51
2026-04-01,MK,52
2026-04-01,AL,53
2026-04-01,KZ,54
2026-04-01,PR,55
2026-04-01,BA,56
2026-04-01,JP,57
2026-04-01,AR,58
2026-04-01,MY,59
2026-04-01,AM,60
2026-04-01,MV,61
2026-04-01,TW,62
2026-04-01,RO,63
2026-04-01,PE,64
2026-04-01,PA,65
2026-04-01,MU,66
2026-04-01,LB,67
2026-04-01,BR,68
2026-04-01,KW,69
2026-04-01,TR,70
2026-04-01,EC,71
2026-04-01,CO,72
2026-04-01,MN,73
2026-04-01,OM,74
2026-04-01,DO,75
2026-04-01,JO,76
2026-04-01,PS,77
2026-04-01,TT,78
2026-04-01,IT,79
2026-04-01,UA,80
2026-04-01,TN,81
2026-04-01,BT,82
2026-04-01,BO,83
2026-04-01,LY,84
2026-04-01,MX,85
2026-04-01,MA,86
2026-04-01,DZ,87
2026-04-01,VN,88
2026-04-01,KG,89
2026-04-01,GY,90
2026-04-01,SV,91
2026-04-01,PH,92
2026-04-01,JM,93
2026-04-01,PY,94
2026-04-01,UZ,95
2026-04-01,TH,96
2026-04-01,IQ,97
2026-04-01,NI,98
2026-04-01,FJ,99
2026-04-01,LK,100
2026-04-01,ID,101
2026-04-01,NP,102
2026-04-01,EG,103
2026-04-01,GT,104
2026-04-01,HN,105
2026-04-01,ZA,106
2026-04-01,NA,107
2026-04-01,BW,108
2026-04-01,IN,109
2026-04-01,KE,110
2026-04-01,PK,111
2026-04-01,GH,112
2026-04-01,HT,113
2026-04-01,BD,114
2026-04-01,TJ,115
2026-04-01,NG,116
2026-04-01,KH,117
2026-04-01,SO,118
2026-04-01,RW,119
2026-04-01,SN,120
2026-04-01,MR,121
2026-04-01,BJ,122
2026-04-01,CG,123
2026-04-01,LA,124
2026-04-01,CI,125
2026-04-01,AF,126
2026-04-01,MM,127
2026-04-01,CM,128
2026-04-01,ZM,129
2026-04-01,ZW,130
2026-04-01,TZ,131
2026-04-01,MG,132
2026-04-01,AO,133
2026-04-01,TG,134
2026-04-01,YE,135
2026-04-01,MZ,136
2026-04-01,SL,137
2026-04-01,GN,138
2026-04-01,UG,139
2026-04-01,PG,140
2026-04-01,MW,141
2026-04-01,ET,142
2026-04-01,BF,143
2026-04-01,CD,144
2026-04-01,SD,145
2026-04-01,ML,146
2026-04-01,BI,147
