onet_task_code,task_id,dwa_id,iwa_id,depth,path_segments,hierarchy_path
4.A.4.b.4.I02:4.A.4.b.4.I02.D01:8833,8833,4.A.4.b.4.I02.D01,4.A.4.b.4.I02,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Serve on organizational committees."", ""Serve on institutional or departmental committees."", ""Preside over, or serve on, boards of directors, management committees, or other governing boards.""]","Guiding, Directing, and Motivating Subordinates ; Serve on organizational committees. ; Serve on institutional or departmental committees. ; Preside over, or serve on, boards of directors, management committees, or other governing boards."
4.A.4.a.2.I11:4.A.4.a.2.I11.D09:8849,8849,4.A.4.a.2.I11.D09,4.A.4.a.2.I11,4,"[""Communicating with Supervisors, Peers, or Subordinates"", ""Coordinate activities with clients, agencies, or organizations."", ""Represent the organization in external relations."", ""Attend and participate in meetings of municipal councils or council committees.""]","Communicating with Supervisors, Peers, or Subordinates ; Coordinate activities with clients, agencies, or organizations. ; Represent the organization in external relations. ; Attend and participate in meetings of municipal councils or council committees."
4.A.4.b.4.I11:4.A.4.b.4.I11.D03:8850,8850,4.A.4.b.4.I11.D03,4.A.4.b.4.I11,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Coordinate group, community, or public activities."", ""Coordinate special events or programs."", ""Organize or approve promotional campaigns.""]","Guiding, Directing, and Motivating Subordinates ; Coordinate group, community, or public activities. ; Coordinate special events or programs. ; Organize or approve promotional campaigns."
4.A.4.c.2.I01:4.A.4.c.2.I01.D06:8842,8842,4.A.4.c.2.I01.D06,4.A.4.c.2.I01,4,"[""Staffing Organizational Units"", ""Perform recruiting or hiring activities."", ""Select staff, team members, or performers."", ""Nominate citizens to boards or commissions.""]","Staffing Organizational Units ; Perform recruiting or hiring activities. ; Select staff, team members, or performers. ; Nominate citizens to boards or commissions."
4.A.1.a.1.I03:4.A.1.a.1.I03.D06:8851,8851,4.A.1.a.1.I03.D06,4.A.1.a.1.I03,4,"[""Getting Information"", ""Investigate criminal or legal matters."", ""Conduct hearings to investigate legal issues."", ""Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.""]","Getting Information ; Investigate criminal or legal matters. ; Conduct hearings to investigate legal issues. ; Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings."
4.A.4.a.3.I01:4.A.4.a.3.I01.D01:8851,8851,4.A.4.a.3.I01.D01,4.A.4.a.3.I01,4,"[""Communicating with People Outside the Organization"", ""Present information in legal proceedings."", ""Testify at legal or legislative proceedings."", ""Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.""]","Communicating with People Outside the Organization ; Present information in legal proceedings. ; Testify at legal or legislative proceedings. ; Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings."
4.A.4.b.4.I09:4.A.4.b.4.I09.D02:8847,8847,4.A.4.b.4.I09.D02,4.A.4.b.4.I09,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Manage budgets or finances."", ""Direct financial operations."", ""Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.""]","Guiding, Directing, and Motivating Subordinates ; Manage budgets or finances. ; Direct financial operations. ; Direct or coordinate activities of businesses involved with buying or selling investment products or financial services."
4.A.2.b.4.I02:4.A.2.b.4.I02.D01:8853,8853,4.A.2.b.4.I02.D01,4.A.2.b.4.I02,4,"[""Developing Objectives and Strategies"", ""Draft legislation or regulations."", ""Draft legislation or regulations."", ""Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.""]","Developing Objectives and Strategies ; Draft legislation or regulations. ; Draft legislation or regulations. ; Prepare bylaws approved by elected officials, and ensure that bylaws are enforced."
4.A.4.a.2.I11:4.A.4.a.2.I11.D04:8844,8844,4.A.4.a.2.I11.D04,4.A.4.a.2.I11,4,"[""Communicating with Supervisors, Peers, or Subordinates"", ""Coordinate activities with clients, agencies, or organizations."", ""Coordinate with external parties to exchange information."", ""Make presentations to legislative or other government committees regarding policies, programs, or budgets.""]","Communicating with Supervisors, Peers, or Subordinates ; Coordinate activities with clients, agencies, or organizations. ; Coordinate with external parties to exchange information. ; Make presentations to legislative or other government committees regarding policies, programs, or budgets."
4.A.2.a.4.I09:4.A.2.a.4.I09.D03:20461,20461,4.A.2.a.4.I09.D03,4.A.2.a.4.I09,4,"[""Analyzing Data or Information"", ""Assess characteristics or impacts of regulations or policies."", ""Analyze impact of legal or regulatory changes."", ""Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.""]","Analyzing Data or Information ; Assess characteristics or impacts of regulations or policies. ; Analyze impact of legal or regulatory changes. ; Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups."
4.A.4.b.6.I08:4.A.4.b.6.I08.D04:20461,20461,4.A.4.b.6.I08.D04,4.A.4.b.6.I08,4,"[""Providing Consultation and Advice to Others"", ""Advise others on legal or regulatory matters."", ""Advise others on legal or regulatory compliance matters."", ""Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.""]","Providing Consultation and Advice to Others ; Advise others on legal or regulatory matters. ; Advise others on legal or regulatory compliance matters. ; Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups."
4.A.4.b.4.I12:4.A.4.b.4.I12.D03:8838,8838,4.A.4.b.4.I12.D03,4.A.4.b.4.I12,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Direct organizational operations, activities, or procedures."", ""Direct sales, marketing, or customer service activities."", ""Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.""]","Guiding, Directing, and Motivating Subordinates ; Direct organizational operations, activities, or procedures. ; Direct sales, marketing, or customer service activities. ; Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting."
4.A.4.b.4.I12:4.A.4.b.4.I12.D17:8838,8838,4.A.4.b.4.I12.D17,4.A.4.b.4.I12,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Direct organizational operations, activities, or procedures."", ""Direct administrative or support services."", ""Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.""]","Guiding, Directing, and Motivating Subordinates ; Direct organizational operations, activities, or procedures. ; Direct administrative or support services. ; Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting."
4.A.4.b.6.I05:4.A.4.b.6.I05.D07:8845,8845,4.A.4.b.6.I05.D07,4.A.4.b.6.I05,4,"[""Providing Consultation and Advice to Others"", ""Advise others on business or operational matters."", ""Recommend organizational process or policy changes."", ""Refer major policy matters to elected representatives for final decisions.""]",Providing Consultation and Advice to Others ; Advise others on business or operational matters. ; Recommend organizational process or policy changes. ; Refer major policy matters to elected representatives for final decisions.
4.A.1.a.1.I18:4.A.1.a.1.I18.D03:8848,8848,4.A.1.a.1.I18.D03,4.A.1.a.1.I18,4,"[""Getting Information"", ""Research historical or social issues."", ""Conduct research on social issues."", ""Direct or conduct studies or research on issues affecting areas of responsibility.""]",Getting Information ; Research historical or social issues. ; Conduct research on social issues. ; Direct or conduct studies or research on issues affecting areas of responsibility.
4.A.1.a.1.I20:4.A.1.a.1.I20.D04:8848,8848,4.A.1.a.1.I20.D04,4.A.1.a.1.I20,4,"[""Getting Information"", ""Research technology designs or applications."", ""Conduct research to gain information about products or processes."", ""Direct or conduct studies or research on issues affecting areas of responsibility.""]",Getting Information ; Research technology designs or applications. ; Conduct research to gain information about products or processes. ; Direct or conduct studies or research on issues affecting areas of responsibility.
4.A.4.b.4.I10:4.A.4.b.4.I10.D07:8846,8846,4.A.4.b.4.I10.D07,4.A.4.b.4.I10,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Direct construction or extraction activities."", ""Manage construction activities."", ""Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.""]","Guiding, Directing, and Motivating Subordinates ; Direct construction or extraction activities. ; Manage construction activities. ; Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies."
4.A.4.a.2.I11:4.A.4.a.2.I11.D09:8852,8852,4.A.4.a.2.I11.D09,4.A.4.a.2.I11,4,"[""Communicating with Supervisors, Peers, or Subordinates"", ""Coordinate activities with clients, agencies, or organizations."", ""Represent the organization in external relations."", ""Represent organizations or promote their objectives at official functions, or delegate representatives to do so.""]","Communicating with Supervisors, Peers, or Subordinates ; Coordinate activities with clients, agencies, or organizations. ; Represent the organization in external relations. ; Represent organizations or promote their objectives at official functions, or delegate representatives to do so."
4.A.4.a.6.I03:4.A.4.a.6.I03.D12:8852,8852,4.A.4.a.6.I03.D12,4.A.4.a.6.I03,4,"[""Selling or Influencing Others"", ""Promote products, services, or programs."", ""Promote products, services, or programs."", ""Represent organizations or promote their objectives at official functions, or delegate representatives to do so.""]","Selling or Influencing Others ; Promote products, services, or programs. ; Promote products, services, or programs. ; Represent organizations or promote their objectives at official functions, or delegate representatives to do so."
4.A.2.a.1.I02:4.A.2.a.1.I02.D01:15382,15382,4.A.2.a.1.I02.D01,4.A.2.a.1.I02,4,"[""Judging the Qualities of Objects, Services, or People"", ""Evaluate programs, practices, or processes."", ""Evaluate program effectiveness."", ""Monitor and evaluate effectiveness of sustainability programs.""]","Judging the Qualities of Objects, Services, or People ; Evaluate programs, practices, or processes. ; Evaluate program effectiveness. ; Monitor and evaluate effectiveness of sustainability programs."
4.A.2.b.1.I09:4.A.2.b.1.I09.D01:15384,15384,4.A.2.b.1.I09.D01,4.A.2.b.1.I09,4,"[""Making Decisions and Solving Problems"", ""Implement procedures or processes."", ""Implement organizational process or policy changes."", ""Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.""]","Making Decisions and Solving Problems ; Implement procedures or processes. ; Implement organizational process or policy changes. ; Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design."
4.A.2.b.2.I20:4.A.2.b.2.I20.D03:15384,15384,4.A.2.b.2.I20.D03,4.A.2.b.2.I20,4,"[""Thinking Creatively"", ""Develop sustainable organizational or business policies or practices."", ""Develop sustainable organizational policies or practices."", ""Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.""]","Thinking Creatively ; Develop sustainable organizational or business policies or practices. ; Develop sustainable organizational policies or practices. ; Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design."
4.A.2.b.2.I20:4.A.2.b.2.I20.D03:15379,15379,4.A.2.b.2.I20.D03,4.A.2.b.2.I20,4,"[""Thinking Creatively"", ""Develop sustainable organizational or business policies or practices."", ""Develop sustainable organizational policies or practices."", ""Develop, or oversee the development of, sustainability evaluation or monitoring systems.""]","Thinking Creatively ; Develop sustainable organizational or business policies or practices. ; Develop sustainable organizational policies or practices. ; Develop, or oversee the development of, sustainability evaluation or monitoring systems."
4.A.4.b.4.I08:4.A.4.b.4.I08.D03:15379,15379,4.A.4.b.4.I08.D03,4.A.4.b.4.I08,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Manage control systems or activities."", ""Manage control system activities in organizations."", ""Develop, or oversee the development of, sustainability evaluation or monitoring systems.""]","Guiding, Directing, and Motivating Subordinates ; Manage control systems or activities. ; Manage control system activities in organizations. ; Develop, or oversee the development of, sustainability evaluation or monitoring systems."
4.A.4.b.4.I01:4.A.4.b.4.I01.D19:15372,15372,4.A.4.b.4.I01.D19,4.A.4.b.4.I01,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Supervise personnel activities."", ""Supervise workers performing environmentally sustainable activities."", ""Supervise employees or volunteers working on sustainability projects.""]","Guiding, Directing, and Motivating Subordinates ; Supervise personnel activities. ; Supervise workers performing environmentally sustainable activities. ; Supervise employees or volunteers working on sustainability projects."
4.A.3.b.6.I15:4.A.3.b.6.I15.D06:15378,15378,4.A.3.b.6.I15.D06,4.A.3.b.6.I15,4,"[""Documenting/Recording Information"", ""Prepare reports of operational or procedural activities."", ""Prepare operational progress or status reports."", ""Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.""]","Documenting/Recording Information ; Prepare reports of operational or procedural activities. ; Prepare operational progress or status reports. ; Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups."
4.A.4.a.3.I02:4.A.4.a.3.I02.D02:15378,15378,4.A.4.a.3.I02.D02,4.A.4.a.3.I02,4,"[""Communicating with People Outside the Organization"", ""Provide information or assistance to the public."", ""Present sustainable products or services information to the public."", ""Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.""]","Communicating with People Outside the Organization ; Provide information or assistance to the public. ; Present sustainable products or services information to the public. ; Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups."
4.A.2.b.2.I03:4.A.2.b.2.I03.D02:15380,15380,4.A.2.b.2.I03.D02,4.A.2.b.2.I03,4,"[""Thinking Creatively"", ""Develop business or marketing plans."", ""Develop marketing plans or strategies for environmental initiatives."", ""Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.""]","Thinking Creatively ; Develop business or marketing plans. ; Develop marketing plans or strategies for environmental initiatives. ; Develop, or oversee the development of, marketing or outreach media for sustainability projects or events."
4.A.4.b.4.I11:4.A.4.b.4.I11.D06:15380,15380,4.A.4.b.4.I11.D06,4.A.4.b.4.I11,4,"[""Guiding, Directing, and Motivating Subordinates"", ""Coordinate group, community, or public activities."", ""Manage outreach activities."", ""Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.""]","Guiding, Directing, and Motivating Subordinates ; Coordinate group, community, or public activities. ; Manage outreach activities. ; Develop, or oversee the development of, marketing or outreach media for sustainability projects or events."
4.A.1.b.1.I02:4.A.1.b.1.I02.D01:15368,15368,4.A.1.b.1.I02.D01,4.A.1.b.1.I02,4,"[""Identifying Objects, Actions, and Events"", ""Identify business or organizational opportunities."", ""Identify opportunities for green initiatives."", ""Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.""]","Identifying Objects, Actions, and Events ; Identify business or organizational opportunities. ; Identify opportunities for green initiatives. ; Identify and evaluate pilot projects or programs to enhance the sustainability research agenda."
4.A.2.a.1.I02:4.A.2.a.1.I02.D01:15368,15368,4.A.2.a.1.I02.D01,4.A.2.a.1.I02,4,"[""Judging the Qualities of Objects, Services, or People"", ""Evaluate programs, practices, or processes."", ""Evaluate program effectiveness."", ""Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.""]","Judging the Qualities of Objects, Services, or People ; Evaluate programs, practices, or processes. ; Evaluate program effectiveness. ; Identify and evaluate pilot projects or programs to enhance the sustainability research agenda."
4.A.2.b.5.I01:4.A.2.b.5.I01.D04:15370,15370,4.A.2.b.5.I01.D04,4.A.2.b.5.I01,4,"[""Scheduling Work and Activities"", ""Prepare schedules for services or facilities."", ""Schedule activities or facility use."", ""Create and maintain sustainability program documents, such as schedules and budgets.""]","Scheduling Work and Activities ; Prepare schedules for services or facilities. ; Schedule activities or facility use. ; Create and maintain sustainability program documents, such as schedules and budgets."
4.A.3.b.6.I08:4.A.3.b.6.I08.D04:15370,15370,4.A.3.b.6.I08.D04,4.A.3.b.6.I08,4,"[""Documenting/Recording Information"", ""Maintain operational records."", ""Maintain operational records for green energy processes or other environmentally-sustainable activities."", ""Create and maintain sustainability program documents, such as schedules and budgets.""]","Documenting/Recording Information ; Maintain operational records. ; Maintain operational records for green energy processes or other environmentally-sustainable activities. ; Create and maintain sustainability program documents, such as schedules and budgets."
4.A.2.b.2.I03:4.A.2.b.2.I03.D02:15375,15375,4.A.2.b.2.I03.D02,4.A.2.b.2.I03,4,"[""Thinking Creatively"", ""Develop business or marketing plans."", ""Develop marketing plans or strategies for environmental initiatives."", ""Formulate or implement sustainability campaign or marketing strategies.""]",Thinking Creatively ; Develop business or marketing plans. ; Develop marketing plans or strategies for environmental initiatives. ; Formulate or implement sustainability campaign or marketing strategies.
4.A.1.a.1.I10:4.A.1.a.1.I10.D06:15376,15376,4.A.1.a.1.I10.D06,4.A.1.a.1.I10,4,"[""Getting Information"", ""Investigate the environmental impact of industrial or development activities."", ""Identify environmental concerns."", ""Research environmental sustainability issues, concerns, or stakeholder interests.""]","Getting Information ; Investigate the environmental impact of industrial or development activities. ; Identify environmental concerns. ; Research environmental sustainability issues, concerns, or stakeholder interests."
