iso3,country_name,region,income_level,mean_task_exposure,share_exposed,share_high_exposure,substitution_share,augmentation_share,sub_only_share,both_share,aug_only_share,neither_share,substitution_minus_augmentation,task_exposure_sd,gdp,population,gdp_per_capita,log_gdp_per_capita,log_population,goods_trade_openness,services_trade_openness,goods_trade_automation_intensity,goods_trade_value_per_capita_exposed,goods_autonomous_execution_trade_share,goods_supervised_machine_trade_share,goods_human_uses_tool_trade_share,llm_dominant_share,robotics_physical_dominant_share,software_rules_dominant_share,domain_tools_dominant_share,turnkey_share,configure_and_train_share,integration_and_data_share,capex_and_governance_share,manufacturing_value_added_pct_gdp,trade_pct_gdp,internet_users_pct,fixed_broadband_per_100,sub_only_share_exposed,aug_only_share_exposed,both_share_exposed,country_name_owid,year,informal_share,owid_gdp_pc,owid_population,owid_region,informal_share_pp,share_exposed_pp,sub_only_share_pp,aug_only_share_pp,both_share_pp,substitution_share_pp,augmentation_share_pp,sub_minus_aug_pp,sub_only_share_exposed_pp,aug_only_share_exposed_pp
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,0.3983082406767038,0.10778315688673724,0.00436239825504069,0.05426397829440868,0.00303239878704048,0.05426397829440868,0.05048677980528807,0.00303239878704048,0.8922168431132628,0.05123157950736819,0.6875134128723381,70962185790.7094,109276265,649.383338556725,6.476023202666871,18.509389774944975,0.30312094315189736,NA,0.7554651818436475,0.948985948595516,3.337700001936936e-5,4.6023039754552e-4,0.9115058978307012,0,0,0,0,0,0,0,0,8.21811392729758,100.554088317275,30.548,0.0219936,0.5034550839091807,0.0281342546890424,0.46841066140177684,Democratic Republic of Congo,2020,96.76,1361.028,95990000,Africa,96.76,10.778315688673725,5.426397829440869,0.303239878704048,5.048677980528807,5.426397829440869,0.303239878704048,5.123157950736819,50.34550839091807,2.81342546890424
VNM,Viet Nam,East Asia & Pacific,Lower middle income,1.337873064850774,0.4826302069479172,0.09134436346225462,0.1768367292653083,0.03553758578496568,0.1768367292653083,0.2705750917699633,0.03553758578496568,0.5170505931797628,0.1412991434803426,0.937340170345016,476388230307.175,100987686,4717.290287324487,8.45898982205734,18.430509146580512,0.8779959851617274,NA,1.7590656490514949,7262.382683488757,1.0546022876648e-4,8.5092827804292e-4,0.9452140034688096,0,0,0,0,0,0,0,0,24.4304272603192,173.862024782965,84.15,22.6807,0.36640211640211645,0.0736331569664903,0.560626102292769,Vietnam,2023,67.66,13545.935,100352189,Asia,67.66,48.26302069479172,17.68367292653083,3.5537585784965677,27.05750917699633,17.68367292653083,3.5537585784965677,14.129914348034259,36.640211640211646,7.363315696649029
TUR,Turkiye,Europe & Central Asia,Upper middle income,1.4485474087474726,0.5282004895179313,0.12429498776205172,0.19889326380759817,0.04666382888155794,0.19889326380759817,0.28274981377035224,0.04666382888155794,0.47169309354049166,0.15222943492604024,0.9507043407087844,1359123768774.12,85518661,15892.715728724052,9.67361615296566,18.26424516740227,0.19355782389140225,0.17680141096843394,1.4606944140764124,2538.487625887875,8.1583595828156e-4,0.00621060182548611,0.9196986846477164,0,0,0,0,0,0,0,0,16.8424801408013,54.5988061195916,87.3079,22.4592,0.37654880628588694,0.08834491790067492,0.5353077465498136,Turkey,2023,27.31,35069.17,87270502,Asia,27.31,52.82004895179313,19.889326380759815,4.666382888155794,28.274981377035225,19.889326380759815,4.666382888155794,15.222943492604024,37.65488062858869,8.834491790067492
DEU,Germany,Europe & Central Asia,High income,1.5644286018301767,0.5740583102787827,0.15178761438603958,0.20999148755054267,0.05793785911896148,0.20999148755054267,0.30676739731857844,0.05793785911896148,0.42530325601191743,0.15205362843158118,0.9339479801935324,4685592577804.69,83516593,56103.73231825549,10.934957619034956,18.24055588864204,0.34845721170874216,0.6233691793511608,1.7534063030257196,35060.67036198424,7.071700565558e-4,0.00750395987319854,0.9181120599000124,0,0,0,0,0,0,0,0,18.0067082931968,79.0907305894936,93.5,45.3805,0.3658016682113068,0.10092678405931417,0.5343836886005561,Germany,2021,1.99,62530.766,83697080,Europe,1.99,57.40583102787827,20.999148755054268,5.793785911896148,30.676739731857843,20.999148755054268,5.793785911896148,15.205362843158118,36.580166821130675,10.092678405931418
THA,Thailand,East Asia & Pacific,Upper middle income,1.406767037293185,0.5091237963504814,0.11081555567377772,0.18917912432835027,0.04080438367824653,0.18917912432835027,0.27924668830132465,0.04080438367824653,0.4907698036920785,0.14837474065010375,0.9430182158763496,526517658841.684,71668011,7346.620221421856,8.901995652630735,18.08755505538743,0.6221034283229785,NA,1.7168498671374794,7253.367185940182,3.6615698457206e-4,0.00156366092915133,0.904667222046959,0,0,0,0,0,0,0,0,24.3302698519497,136.747107022451,90.8672,15.7473,0.3715778474399164,0.08014629049111809,0.5484848484848485,Thailand,2018,64.98,20879.902,71376081,Asia,64.98,50.91237963504815,18.917912432835028,4.0804383678246525,27.924668830132465,18.917912432835028,4.0804383678246525,14.837474065010376,37.15778474399164,8.014629049111809
GBR,United Kingdom,Europe & Central Asia,High income,1.5654625738149706,0.5693993722402511,0.16156833537266585,0.21636431345427465,0.05399797840080864,0.21636431345427465,0.2993030802787679,0.05399797840080864,0.4303346278661488,0.16236633505346598,0.9486103466496368,3686033044482.13,69226000,53246.36761451088,10.882684867433,18.05288707256521,0.12181976426857748,1.1324155127281137,1.792035811618602,9533.074732600468,4.5410512528017e-4,0.00447935288815961,0.9130271011406522,0,0,0,0,0,0,0,0,7.98503886607726,62.8401605267118,96.2988,41.4368,0.379986919555265,0.09483322432962721,0.525647014855648,United Kingdom,2018,6.51,52131.695,66752473,Europe,6.51,56.93993722402511,21.636431345427464,5.399797840080864,29.93030802787679,21.636431345427464,5.399797840080864,16.2366335053466,37.998691955526496,9.483322432962721
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,0.7423525030589988,0.23785710485715805,0.01117199553120178,0.08985476405809438,0.0100547959780816,0.08985476405809438,0.1380007447997021,0.0100547959780816,0.762089695164122,0.07979996808001277,0.8436038502165346,78844405385.2195,68560157,1150.0032793860069,7.047520072993236,18.04322212221617,0.14171980948307958,NA,0.7179948505428153,2.2869455360202866,3.5598582342658e-4,0.00411152736356381,0.94054747238052006,0,0,0,0,0,0,0,0,8.06364335166651,41.5131207208244,29.0638,2.49959,0.377767837172892,0.04227242227689551,0.5801834041601432,Tanzania,2020,93.32,3449.8215,60972803,Africa,93.32,23.785710485715803,8.985476405809438,1.00547959780816,13.80007447997021,8.985476405809438,1.00547959780816,7.979996808001277,37.7767837172892,4.227242227689551
FRA,France,Europe & Central Asia,High income,1.5474569057246224,0.5674611619493509,0.15045754415833157,0.20967227069589275,0.05628857203660353,0.20967227069589275,0.30197914449882957,0.05628857203660353,0.4320600127686742,0.15338369865928922,0.9431789497130584,3160442622465.08,68551653,46103.08408558842,10.738635126651346,18.043098077467423,0.2079047906319837,0.8057102451092308,1.642222806131738,12011.493247011857,6.1487878538249e-4,0.0039812690609944,0.9110226819077591,0,0,0,0,0,0,0,0,9.56647520690692,68.1081875443744,88.6538,48.6688,0.3694918432402025,0.09919369960622539,0.5321582598912432,France,2023,3.35,54296.723,66438828,Europe,3.35,56.74611619493509,20.967227069589274,5.628857203660353,30.19791444988296,20.967227069589274,5.628857203660353,15.338369865928922,36.94918432402025,9.91936996062254
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,1.411608235356706,0.5104537958184817,0.11767835292865884,0.1928499228600309,0.03787838484864606,0.1928499228600309,0.2799382880246848,0.03787838484864606,0.4893334042666383,0.1549715380113848,0.9542491438725168,401144998373.585,64007187,6267.186814093002,8.743082858954319,17.974505931894125,0.375570988856484,NA,1.5810993061728622,1166.286460581372,1.3435089106902e-4,0.00250508697692249,0.9442075272281868,0,0,0,0,0,0,0,0,12.7973009661441,61.646770473025,75.6592,3.40566,0.3778009379885357,0.07420531526836893,0.5484106305367379,South Africa,2024,34.9,13597.654,64007187,Africa,34.9,51.045379581848174,19.28499228600309,3.7878384848646056,27.993828802468478,19.28499228600309,3.7878384848646056,15.49715380113848,37.78009379885357,7.420531526836893
ITA,Italy,Europe & Central Asia,High income,1.4952918018832793,0.5454061818375273,0.13831994467202213,0.20200031919987232,0.0506463797414481,0.20200031919987232,0.2930786827685269,0.0506463797414481,0.4542746182901527,0.15135393945842424,0.950519001107857,2380825077243.59,58952704,40385.341395766845,10.60622216136962,17.892246053276516,0.2758929668438616,0.6145915607097294,1.7466097428916976,15881.806042111317,9.6330355245289e-4,0.01200341476222952,0.9170164721852658,0,0,0,0,0,0,0,0,14.8235735691366,62.8237685119526,89.2207,31.8411,0.37036675770581345,0.09285992976980101,0.5373585641825984,Italy,2023,3.49,52870.324,59499452,Europe,3.49,54.540618183752734,20.200031919987232,5.06463797414481,29.307868276852687,20.200031919987232,5.06463797414481,15.135393945842424,37.03667577058135,9.2859929769801
KEN,Kenya,Sub-Saharan Africa,Lower middle income,1.0554875778049688,0.36958025216789914,0.04032558386976645,0.12326435069425971,0.02234399106240357,0.12326435069425971,0.22397191041123585,0.02234399106240357,0.6304197478321009,0.10092035963185617,0.9175491216928022,120339557905.932,56432944,2132.434520976471,7.665019573607886,17.84856365941559,0.06650643419561278,NA,1.1352443770005234,16.627628322917197,5.000410043867598e-5,0.00271744276371483,0.945792358278454,0,0,0,0,0,0,0,0,7.2507294225429,40.1860139968756,34.9762,2.38883,0.33352526270332516,0.06045775154743053,0.6060169857492443,Kenya,2019,86.49,5171.7124,51202829,Africa,86.49,36.95802521678991,12.32643506942597,2.2343991062403568,22.397191041123584,12.32643506942597,2.2343991062403568,10.092035963185616,33.35252627033252,6.045775154743053
MMR,Myanmar,East Asia & Pacific,Lower middle income,0.7631004947598021,0.25775389689844125,0.01574719370112252,0.1118795552481779,0.00893759642496143,0.1118795552481779,0.13693674522530191,0.00893759642496143,0.7422461031015588,0.10294195882321648,0.8713637003332879,74068349523.8095,54500091,1359.0500156010655,7.21454121671238,17.81371292935685,0.28154787565904227,NA,1.1691031896267088,64.27920953379693,7.773802795713886e-5,9.5964736725458e-4,0.9035407472170608,0,0,0,0,0,0,0,0,22.5216536798612,NA,58.5357,2.7983,0.43405572755417954,0.03467492260061919,0.5312693498452012,Myanmar,2020,80.96,5926.8345,53016525,Asia,80.96,25.775389689844125,11.18795552481779,0.8937596424961429,13.693674522530191,11.18795552481779,0.8937596424961429,10.294195882321649,43.40557275541796,3.467492260061919
COL,Colombia,Latin America & Caribbean,Upper middle income,1.3573974570410172,0.4903442038623185,0.09698356120657552,0.17587912964834815,0.03718678512528595,0.17587912964834815,0.2774910890035644,0.03718678512528595,0.5094429962228015,0.1386923445230622,0.9399426861306682,418818154879.271,52886363,7919.208868253448,8.977046589447056,17.783656075315644,0.12677931535538603,NA,1.3866406054621148,92.63290455424207,2.1581712048859e-4,0.00462471544563746,0.9205971230413827,0,0,0,0,0,0,0,0,10.0955376873703,37.0254687077888,77.3369,17.037,0.35868503851578604,0.07583812520342845,0.5659108169686449,Colombia,2024,56.14,18477.215,52886360,South America,56.14,49.034420386231844,17.587912964834814,3.718678512528595,27.74910890035644,17.587912964834814,3.718678512528595,13.86923445230622,35.8685038515786,7.583812520342844
KOR,"Korea, Rep.",East Asia & Pacific,High income,1.6071618601681388,0.5965201660104289,0.16978823028626158,0.22688091944237523,0.05496435032457167,0.22688091944237523,0.3149409385974247,0.05496435032457167,0.4032137916356284,0.17191656911780356,0.9467765673879612,1875388209406.8,51751065,36238.63990831493,10.497881229328884,17.761955569608137,0.3523630759084391,NA,1.986022561923957,26228.650353205292,5.038579920907e-4,0.00625482465406933,0.8599126291268206,0,0,0,0,0,0,0,0,26.6179725157922,84.6424951192038,97.8956,46.5676,0.3803407367763803,0.09214164659709213,0.5279636071715279,South Korea,2019,26.62,49790.867,51767844,Asia,26.62,59.65201660104289,22.688091944237524,5.496435032457167,31.494093859742474,22.688091944237524,5.496435032457167,17.191656911780356,38.034073677638034,9.214164659709214
SDN,Sudan,Sub-Saharan Africa,Low income,0.5717933712826515,0.17848592860562856,0.00978879608448156,0.0806511677395329,0.00633079746768101,0.0806511677395329,0.09150396339841464,0.00633079746768101,0.8215140713943715,0.07432037027185188,0.8006077400256975,49672435513.1126,50448963,984.6076620665642,6.892243249201768,17.73647274954768,0.09956666748692888,NA,0.9720823215390564,0.21608836637534057,0.00326835696754319,0.01082212234912148,0.9337366116479984,0,0,0,0,0,0,0,0,NA,1.99541210225008,26.4383,0.0604394,0.4518628912071535,0.035469448584202666,0.5126676602086438,Sudan,2022,94.41,3132.0771,49383344,Africa,94.41,17.848592860562857,8.06511677395329,0.633079746768101,9.150396339841464,8.06511677395329,0.633079746768101,7.4320370271851885,45.18628912071535,3.5469448584202667
UGA,Uganda,Sub-Saharan Africa,Low income,0.6864393254242698,0.21402351439059425,0.00962919614832154,0.07990636803745278,0.00968239612704154,0.07990636803745278,0.12443475022609991,0.00968239612704154,0.7859764856094058,0.07022397191041123,0.8257143521277911,53911907086.1525,50015092,1077.912784528168,6.982781843305583,17.72783535784789,0.15803516542987203,NA,0.7250327988361092,3.74224724009305,1.2059080494424165e-5,0.00420875046417276,0.930942310048442,0,0,0,0,0,0,0,0,15.1091911678522,42.6527889088562,8.94983,0.091297,0.37335321899080287,0.045239870743226406,0.5814069102659707,Uganda,2021,95.2,2684.9204,45910931,Africa,95.2,21.402351439059426,7.990636803745279,0.9682396127041539,12.443475022609991,7.990636803745279,0.9682396127041539,7.022397191041123,37.335321899080284,4.5239870743226405
ESP,Spain,Europe & Central Asia,High income,1.5254841455628858,0.5566609917003618,0.14636092785699084,0.20844860608640137,0.05192594168972121,0.20844860608640137,0.2965524579697808,0.05192594168972121,0.44307299425409663,0.15652266439668017,0.9471789493162552,1725671652742.19,48848840,35326.76830692786,10.472396264528529,17.7042411900094,0.23909927577030332,0.47341972541635785,1.5869961784146318,6487.896427755501,4.2539894013666e-4,0.00540813052538691,0.9144294102894448,0,0,0,0,0,0,0,0,10.8444299486305,69.9502612382631,95.7575,37.2148,0.3744623912835707,0.09328108573066997,0.5327343974003632,Spain,2023,1.98,47322.594,47911583,Europe,1.98,55.666099170036176,20.844860608640136,5.1925941689721204,29.65524579697808,20.844860608640136,5.1925941689721204,15.652266439668017,37.446239128357064,9.328108573066997
IRQ,Iraq,Middle East & North Africa,Upper middle income,0.9449380220247912,0.3281374687450125,0.02287599084960366,0.1237963504814598,0.01718359312656275,0.1237963504814598,0.18721072511570996,0.01718359312656275,0.6718093312762675,0.10661275735489706,0.894320444496885,279641257615.385,46042015,6073.610323427091,8.711708488695377,17.645064907150424,0.4090517974723438,NA,1.1025891415194875,4.434209580097656,7.098183149177678e-5,0.00457220977547232,0.95805973918918,0,0,0,0,0,0,0,0,4.08706182141497,70.7087434748943,81.7291,17.2313,0.3772697795071336,0.05236705577172504,0.5705252918287939,Iraq,2021,67.64,12731.754,43071208,Asia,67.64,32.81374687450125,12.37963504814598,1.718359312656275,18.721072511570995,12.37963504814598,1.718359312656275,10.661275735489706,37.72697795071336,5.236705577172504
ARG,Argentina,Latin America & Caribbean,Upper middle income,1.408587847185272,0.5133021176971374,0.11258912418857082,0.18963498989039057,0.04363094604661062,0.18963498989039057,0.2801425987017133,0.04363094604661062,0.4865914653612855,0.1460040438437799,0.949436072674612,638365455340.04,45696159,13969.783660373732,9.544651966116334,17.637524804192147,0.1127359724041854,NA,1.4934943290034988,574.6177746142733,1.1342004817215e-4,0.00194905331284669,0.9599061444097662,0,0,0,0,0,0,0,0,15.1850458096465,27.929760849367,89.6672,25.3581,0.3694412770809578,0.08500051829584326,0.5457655229605058,Argentina,2023,50.45,27230.396,45538402,South America,50.45,51.33021176971374,18.963498989039056,4.363094604661062,28.014259870171333,18.963498989039056,4.363094604661062,14.60040438437799,36.94412770809578,8.500051829584326
AFG,Afghanistan,South Asia,Low income,0.456189817524073,0.13704314518274194,0.00574559770176091,0.06830877267649092,0.00489439804224078,0.06830877267649092,0.06383997446401021,0.00489439804224078,0.862956854817258,0.06341437463425013,0.7383422980460712,17152234636.8715,42647492,402.1862443135343,5.996915275643621,17.568479025952527,0.09755782109013927,NA,0.6222334327233776,0.3765367726664912,1.1034886695805e-4,0.00373714909498676,0.9440213697282503,0,0,0,0,0,0,0,0,7.5409168634476,67.5846651516385,17.7089,0.0800873,0.498447204968944,0.035714285714285685,0.4658385093167701,Afghanistan,2021,86.13,2144.1665,40000410,Asia,86.13,13.704314518274193,6.830877267649092,0.48943980422407796,6.383997446401021,6.830877267649092,0.48943980422407796,6.341437463425013,49.844720496894404,3.5714285714285685
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,0.5201361919455232,0.15853593658562537,0.00904399638240144,0.08517316593073362,0.0031387987444805,0.08517316593073362,0.07022397191041124,0.0031387987444805,0.8414640634143746,0.08203436718625312,0.7764292578688605,21606160663.0318,40583164,532.3922172019855,6.277380468085756,17.51886385876556,0.05020421318332412,NA,0.9313277601033324,0.649734924561328,4.3625316015377254e-5,2.9507013195016e-4,0.9737405440179978,0,0,0,0,0,0,0,0,NA,56.0778227215077,13.8152,1.27124,0.537248322147651,0.019798657718120793,0.4429530201342282,Yemen,2014,77.41,NA,30226311,Asia,77.41,15.853593658562538,8.517316593073362,0.31387987444805004,7.022397191041124,8.517316593073362,0.31387987444805004,8.203436718625312,53.724832214765094,1.9798657718120793
AGO,Angola,Sub-Saharan Africa,Lower middle income,0.8592328563068575,0.2916422833430867,0.01893919242432303,0.11767835292865884,0.01175719529712188,0.11767835292865884,0.16220673511730596,0.01175719529712188,0.7083577166569134,0.10592115763153696,0.8831721753616801,100998916781.079,37885849,2665.874447767529,7.888287405769062,17.450088223021286,0.3958746997026244,NA,1.4186310606553267,23.43053434014373,6.365217610618326e-5,3.7632074393349e-4,0.922445591093506,0,0,0,0,0,0,0,0,7.62750781911399,50.8422305562091,44.7581,0.373669,0.4035023713973003,0.04031375410434148,0.5561838744983583,Angola,2022,92.19,8950.143,35635028,Africa,92.19,29.164228334308667,11.767835292865884,1.175719529712188,16.220673511730595,11.767835292865884,1.175719529712188,10.592115763153696,40.35023713973003,4.031375410434148
POL,Poland,Europe & Central Asia,High income,1.490928438414472,0.5449853684490557,0.13540835328544826,0.2048417132216015,0.04676775738228252,0.2048417132216015,0.29348230912476725,0.04676775738228252,0.4549082202713487,0.15807395583931896,0.9485067105621132,917767106146.761,36559233,25103.565661422956,10.130765173254584,17.414444325117902,0.4061277721642339,0.9905486848584286,1.67489249522658,12220.663073046417,0.00136201620450676,0.00307025385847984,0.9211729728227304,0,0,0,0,0,0,0,0,16.0769928111431,100.359442847164,88.585,26.114,0.3758664453773308,0.08581470272381136,0.5385141071951577,Poland,2023,7.67,43672.766,38762847,Europe,7.67,54.498536844905566,20.48417132216015,4.676775738228252,29.348230912476726,20.48417132216015,4.676775738228252,15.807395583931896,37.58664453773308,8.581470272381136
